avg_rating,extracted_at,geek_rating,id,num_voters,rank,short_description,title,type,year_published
8.7,1660708124.9633,8.473,174430,51670.0,1,Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!,Gloomhaven,boardgame,2017
8.66,1660708124.9633,8.429,224517,30079.0,2,"Build networks, grow industries, and navigate the world of the Industrial Revolution.",Brass: Birmingham,boardgame,2018
8.58,1660708124.9633,8.426,161936,47368.0,3,Mutating diseases are spreading around the world - can your team save humanity?,Pandemic Legacy: Season 1,boardgame,2015
8.6,1660708124.9633,8.258,291457,21718.0,4,Vanquish monsters with strategic cardplay in a 25-scenario Gloomhaven campaign.,Gloomhaven: Jaws of the Lion,boardgame,2020
8.4,1660708124.9633,8.256,167791,80927.0,5,Compete with rival CEOs to make Mars habitable and build your corporate empire.,Terraforming Mars,boardgame,2016
8.64,1660708124.9633,8.246,233078,17962.0,6,"Build an intergalactic empire through trade, research, conquest and grand politics.",Twilight Imperium: Fourth Edition,boardgame,2017
8.64,1660708124.9633,8.239,342942,14469.0,7,"Plan and build a modern, scientifically managed zoo to support conservation projects.",Ark Nova,boardgame,2021
8.42,1660708124.9633,8.168,187645,27394.0,8,Strike from your hidden base as the Rebels—or find and destroy it as the Empire.,Star Wars: Rebellion,boardgame,2016
8.45,1660708124.9633,8.165,220308,21556.0,9,"Expand, research, upgrade, and settle the galaxy with one of 14 alien species.",Gaia Project,boardgame,2017
8.37,1660708124.9633,8.151,162886,37327.0,10,Island Spirits join forces using elemental powers to defend their home from invaders.,Spirit Island,boardgame,2017
8.52,1660708124.9633,8.149,115746,16948.0,11,The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-Earth.,War of the Ring: Second Edition,boardgame,2011
8.35,1660708124.9633,8.125,182028,27309.0,12,Rewrite history as you build up your civilization in this epic card drafting game!,Through the Ages: A New Story of Civilization,boardgame,2015
8.28,1660708124.9633,8.109,193738,35534.0,13,Use strategic outposts and navigate danger as you herd your cattle to Kansas City.,Great Western Trail,boardgame,2016
8.27,1660708124.9633,8.101,12333,44597.0,14,Relive the Cold War and rewrite history in an epic clash between the USA and USSR.,Twilight Struggle,boardgame,2005
8.33,1660708124.9633,8.063,316554,23364.0,15,"Influence, intrigue, and combat in the universe of Dune.",Dune: Imperium,boardgame,2020
8.2,1660708124.9633,8.047,169786,69782.0,16,"Five factions vie for dominance in a war-torn, mech-filled, dieselpunk 1920s Europe.",Scythe,boardgame,2016
8.13,1660708124.9633,8.007,84876,53734.0,17,"Plan, trade, and build your Burgundian estate to prosperity and prominence.",The Castles of Burgundy,boardgame,2011
8.35,1660708124.9633,7.982,167355,21312.0,18,Survive an alien-infested spaceship but beware of other players and their agendas.,Nemesis,boardgame,2018
8.1,1660708124.9633,7.98,173346,76138.0,19,Science? Military? What will you draft to win this head-to-head version of 7 Wonders?,7 Wonders Duel,boardgame,2015
8.19,1660708124.9633,7.966,28720,21968.0,20,Test your economic mettle as you build and network in the Industrial Revolution.,Brass: Lancashire,boardgame,2007
8.12,1660708124.9633,7.965,124361,34038.0,21,Traders compete to build the greatest empire in the Roman Mediterranean.,Concordia,boardgame,2013
8.2,1660708124.9633,7.955,177736,22748.0,22,"Puzzle together the life of a Viking village as you hunt, farm, craft, and explore.",A Feast for Odin,boardgame,2016
8.11,1660708124.9633,7.948,120677,43529.0,23,Play fantastical factions.  Expand your influence by terraforming and joining cults.,Terra Mystica,boardgame,2012
8.09,1660708124.9633,7.937,266192,65694.0,24,Attract a beautiful and diverse collection of birds to your aviary.,Wingspan,boardgame,2019
8.15,1660708124.9633,7.921,205637,36264.0,25,Investigate the horrors of Arkham while courting cosmic doom.,Arkham Horror: The Card Game,boardgame,2016
8.63,1660708124.9633,7.907,266507,6350.0,26,"""Go forth, be bold, and ACQUIRE!"" in this campaign version of ""Clank!""",Clank!: Legacy – Acquisitions Incorporated,boardgame,2019
8.58,1660708124.9633,7.905,246900,7655.0,27,"Build an interstellar civilization by exploration, research, conquest, and diplomacy.",Eclipse: Second Dawn for the Galaxy,boardgame,2020
8.09,1660708124.9633,7.892,237182,36844.0,28,Decide the fate of the forest as woodland factions fight for contrasting goals.,Root,boardgame,2018
8.04,1660708124.9633,7.883,183394,38978.0,29,Create the most prosperous winery in Italy from the Tuscan vineyard you've inherited.,Viticulture Essential Edition,boardgame,2015
8.08,1660708124.9633,7.88,199792,35915.0,30,Gather resources to develop a harmonious village of woodland critters and structures.,Everdell,boardgame,2018
8.07,1660708124.9633,7.879,164928,26470.0,31,"Craftsmen, scholars & monks can help you reign supreme—but who will turn up to help?",Orléans,boardgame,2014
8.1,1660708124.9633,7.874,312484,25576.0,32,Explore an island to find resources and discover the lost ruins of Arnak.,Lost Ruins of Arnak,boardgame,2020
8.09,1660708124.9633,7.869,96848,30491.0,33,"Build your hero’s spells, abilities, and artifacts as you explore & conquer cities.",Mage Knight Board Game,boardgame,2011
8.1,1660708124.9633,7.832,175914,16864.0,34,Strategically hire and manage your workforce to outcompete rival fast food chains.,Food Chain Magnate,boardgame,2015
8.19,1660708124.9633,7.82,285774,17134.0,35,Battle Marvel villains with unique teams of iconic heroes in this LCG.,Marvel Champions: The Card Game,boardgame,2019
8.22,1660708124.9633,7.82,251247,11550.0,36,Nations vie for hydroelectric dominance in a dystopia where water is power.,Barrage,boardgame,2019
7.95,1660708124.9633,7.818,3076,67014.0,37,"Ship goods, construct buildings, and choose roles that benefit you more than others.",Puerto Rico,boardgame,2002
7.99,1660708124.9633,7.81,102794,30957.0,38,"From a simple cave, expand your dwarven home through mining, agriculture, and more.",Caverna: The Cave Farmers,boardgame,2013
8.4,1660708124.9633,7.807,192135,8984.0,39,Toss gobs of unique dice in an epic adventure en route to a final boss showdown.,Too Many Bones,boardgame,2017
7.97,1660708124.9633,7.8,170216,40356.0,40,Ragnarök has come! Secure your place in Valhalla in epic Viking battles.,Blood Rage,boardgame,2015
8.32,1660708124.9633,7.792,256960,8745.0,41,"Swing the tides of ""The Great Game"" as countries vie for control of Afghanistan.",Pax Pamir: Second Edition,boardgame,2019
7.91,1660708124.9633,7.792,31260,67969.0,42,Build your farmstead by sowing fields and raising livestock. But don't forget to eat!,Agricola,boardgame,2007
8.09,1660708124.9633,7.779,247763,14623.0,43,"Develop future cities on the seafloor through politics, production, and science.",Underwater Cities,boardgame,2018
8.14,1660708124.9633,7.767,276025,12470.0,44,Seafarers journey to obtain wealth and fame in the 17th century Caribbean.,Maracaibo,boardgame,2019
8.11,1660708124.9633,7.765,185343,14699.0,45,Use Exosuits & time travel to ensure your vision for the future after the cataclysm.,Anachrony,boardgame,2017
8.08,1660708124.9633,7.765,221107,14633.0,46,The world is a mystery after a devastating pandemic—where will your team go?,Pandemic Legacy: Season 2,boardgame,2017
8.0,1660708124.9633,7.761,205059,30733.0,47,Unravel mysteries in Arkham with your investigative team in this app-guided game.,Mansions of Madness: Second Edition,boardgame,2016
7.92,1660708124.9633,7.746,284083,30490.0,48,Go on a planet-discovering space mission in this cooperative trick-taking game.,The Crew: The Quest for Planet Nine,boardgame,2019
8.35,1660708124.9633,7.735,324856,6726.0,49,Dive into the deep sea in this co-operative trick-taking game.,The Crew: Mission Deep Sea,boardgame,2021
7.88,1660708124.9633,7.734,126163,34972.0,50,"Lead your people, build monuments and make offerings to earn the favour of the gods.",Tzolk'in: The Mayan Calendar,boardgame,2012
8.24,1660708124.9633,7.734,184267,9182.0,51,"Be a part of the first Martian colony, striving to be the best contributor.",On Mars,boardgame,2020
7.83,1660708124.9633,7.728,2651,60502.0,52,"Bid, network, and manage resources in a race to supply the most cities with power.",Power Grid,boardgame,2004
7.97,1660708124.9633,7.713,216132,17895.0,53,"Lead your unique Scottish clan to economic might via production, trade, and export.",Clans of Caledonia,boardgame,2017
7.87,1660708124.9633,7.707,35677,29142.0,54,"Establish a supply chain by collecting resources, building industries, and shipping.",Le Havre,boardgame,2008
7.99,1660708124.9633,7.706,164153,22655.0,55,Play as Rebel or Imperial forces to fulfill mission objectives.,Star Wars: Imperial Assault,boardgame,2014
8.56,1660708124.9633,7.704,55690,8539.0,56,Try to survive in a nightmarish world that lies under eternal darkness.,Kingdom Death: Monster,boardgame,2015
7.98,1660708124.9633,7.702,521,14542.0,57,Flick discs and make trick shots in this traditional Canadian dexterity game!,Crokinole,boardgame,1876
