avg_rating,extracted_at,geek_rating,id,num_voters,rank,short_description,title,type,year_published
8.71,1659498396.816857,8.475,174430,51469.0,1,Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!,Gloomhaven,boardgame,2017
8.58,1659498396.816857,8.427,161936,47232.0,2,Mutating diseases are spreading around the world - can your team save humanity?,Pandemic Legacy: Season 1,boardgame,2015
8.66,1659498396.816857,8.427,224517,29764.0,3,"Build networks, grow industries, and navigate the world of the Industrial Revolution.",Brass: Birmingham,boardgame,2018
8.6,1659498396.816857,8.261,291457,21435.0,4,Vanquish monsters with strategic cardplay in a 25-scenario Gloomhaven campaign.,Gloomhaven: Jaws of the Lion,boardgame,2020
8.4,1659498396.816857,8.257,167791,80549.0,5,Compete with rival CEOs to make Mars habitable and build your corporate empire.,Terraforming Mars,boardgame,2016
8.65,1659498396.816857,8.246,233078,17851.0,6,"Build an intergalactic empire through trade, research, conquest and grand politics.",Twilight Imperium: Fourth Edition,boardgame,2017
8.65,1659498396.816857,8.229,342942,13633.0,7,"Plan and build a modern, scientifically managed zoo to support conservation projects.",Ark Nova,boardgame,2021
8.42,1659498396.816857,8.168,187645,27287.0,8,Strike from your hidden base as the Rebels—or find and destroy it as the Empire.,Star Wars: Rebellion,boardgame,2016
8.45,1659498396.816857,8.165,220308,21413.0,9,"Expand, research, upgrade, and settle the galaxy with one of 14 alien species.",Gaia Project,boardgame,2017
8.37,1659498396.816857,8.151,162886,37027.0,10,Island Spirits join forces using elemental powers to defend their home from invaders.,Spirit Island,boardgame,2017
8.52,1659498396.816857,8.148,115746,16855.0,11,The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-Earth.,War of the Ring: Second Edition,boardgame,2011
8.36,1659498396.816857,8.125,182028,27209.0,12,Rewrite history as you build up your civilization in this epic card drafting game!,Through the Ages: A New Story of Civilization,boardgame,2015
8.28,1659498396.816857,8.109,193738,35403.0,13,Use strategic outposts and navigate danger as you herd your cattle to Kansas City.,Great Western Trail,boardgame,2016
8.27,1659498396.816857,8.101,12333,44506.0,14,Relive the Cold War and rewrite history in an epic clash between the USA and USSR.,Twilight Struggle,boardgame,2005
8.33,1659498396.816857,8.06,316554,22904.0,15,"Influence, intrigue, and combat in the universe of Dune.",Dune: Imperium,boardgame,2020
8.2,1659498396.816857,8.048,169786,69545.0,16,"Five factions vie for dominance in a war-torn, mech-filled, dieselpunk 1920s Europe.",Scythe,boardgame,2016
8.13,1659498396.816857,8.007,84876,53566.0,17,"Plan, trade, and build your Burgundian estate to prosperity and prominence.",The Castles of Burgundy,boardgame,2011
8.35,1659498396.816857,7.985,167355,21111.0,18,Survive an alien-infested spaceship but beware of other players and their agendas.,Nemesis,boardgame,2018
8.1,1659498396.816857,7.98,173346,75790.0,19,Science? Military? What will you draft to win this head-to-head version of 7 Wonders?,7 Wonders Duel,boardgame,2015
8.19,1659498396.816857,7.965,28720,21901.0,20,Test your economic mettle as you build and network in the Industrial Revolution.,Brass: Lancashire,boardgame,2007
8.12,1659498396.816857,7.965,124361,33890.0,21,Traders compete to build the greatest empire in the Roman Mediterranean.,Concordia,boardgame,2013
8.2,1659498396.816857,7.955,177736,22631.0,22,"Puzzle together the life of a Viking village as you hunt, farm, craft, and explore.",A Feast for Odin,boardgame,2016
8.11,1659498396.816857,7.949,120677,43449.0,23,Play fantastical factions.  Expand your influence by terraforming and joining cults.,Terra Mystica,boardgame,2012
8.09,1659498396.816857,7.938,266192,65147.0,24,Attract a beautiful and diverse collection of birds to your wildlife reserve.,Wingspan,boardgame,2019
8.15,1659498396.816857,7.922,205637,36103.0,25,Investigate the horrors of Arkham while courting cosmic doom.,Arkham Horror: The Card Game,boardgame,2016
8.64,1659498396.816857,7.903,266507,6264.0,26,"""Go forth, be bold, and ACQUIRE!"" in this campaign version of ""Clank!""",Clank!: Legacy – Acquisitions Incorporated,boardgame,2019
8.59,1659498396.816857,7.903,246900,7514.0,27,"Build an interstellar civilization by exploration, research, conquest, and diplomacy.",Eclipse: Second Dawn for the Galaxy,boardgame,2020
8.09,1659498396.816857,7.893,237182,36553.0,28,Decide the fate of the forest as woodland factions fight for contrasting goals.,Root,boardgame,2018
8.04,1659498396.816857,7.883,183394,38721.0,29,Create the most prosperous winery in Italy from the Tuscan vineyard you've inherited.,Viticulture Essential Edition,boardgame,2015
8.08,1659498396.816857,7.882,199792,35509.0,30,Gather resources to develop a harmonious village of woodland critters and structures.,Everdell,boardgame,2018
8.07,1659498396.816857,7.88,164928,26367.0,31,"Craftsmen, scholars & monks can help you reign supreme—but who will turn up to help?",Orléans,boardgame,2014
8.1,1659498396.816857,7.874,312484,25135.0,32,Explore an island to find resources and discover the lost ruins of Arnak.,Lost Ruins of Arnak,boardgame,2020
8.09,1659498396.816857,7.87,96848,30412.0,33,"Build your hero’s spells, abilities, and artifacts as you explore & conquer cities.",Mage Knight Board Game,boardgame,2011
8.11,1659498396.816857,7.832,175914,16778.0,34,Strategically hire and manage your workforce to outcompete rival fast food chains.,Food Chain Magnate,boardgame,2015
7.95,1659498396.816857,7.818,3076,66941.0,35,"Ship goods, construct buildings, and choose roles that benefit you more than others.",Puerto Rico,boardgame,2002
8.19,1659498396.816857,7.817,285774,16955.0,36,Battle Marvel villains with unique teams of iconic heroes in this LCG.,Marvel Champions: The Card Game,boardgame,2019
8.22,1659498396.816857,7.815,251247,11408.0,37,Nations vie for hydroelectric dominance in a dystopia where water is power.,Barrage,boardgame,2019
7.99,1659498396.816857,7.81,102794,30908.0,38,"From a simple cave, expand your dwarven home through mining, agriculture, and more.",Caverna: The Cave Farmers,boardgame,2013
8.41,1659498396.816857,7.81,192135,8915.0,39,Toss gobs of unique dice in an epic adventure en route to a final boss showdown.,Too Many Bones,boardgame,2017
7.97,1659498396.816857,7.801,170216,40212.0,40,Ragnarök has come! Secure your place in Valhalla in epic Viking battles.,Blood Rage,boardgame,2015
7.91,1659498396.816857,7.792,31260,67865.0,41,Build your farmstead by sowing fields and raising livestock. But don't forget to eat!,Agricola,boardgame,2007
8.33,1659498396.816857,7.79,256960,8642.0,42,"Swing the tides of ""The Great Game"" as countries vie for control of Afghanistan.",Pax Pamir: Second Edition,boardgame,2019
8.09,1659498396.816857,7.778,247763,14520.0,43,"Develop future cities on the seafloor through politics, production, and science.",Underwater Cities,boardgame,2018
8.14,1659498396.816857,7.767,276025,12382.0,44,Seafarers journey to obtain wealth and fame in the 17th century Caribbean.,Maracaibo,boardgame,2019
8.08,1659498396.816857,7.766,221107,14571.0,45,The world is a mystery after a devastating pandemic—where will your team go?,Pandemic Legacy: Season 2,boardgame,2017
8.11,1659498396.816857,7.765,185343,14616.0,46,Use Exosuits & time travel to ensure your vision for the future after the cataclysm.,Anachrony,boardgame,2017
8.0,1659498396.816857,7.761,205059,30601.0,47,Unravel mysteries in Arkham with your investigative team in this app-guided game.,Mansions of Madness: Second Edition,boardgame,2016
7.92,1659498396.816857,7.748,284083,30200.0,48,Go on a planet-discovering space mission in this cooperative trick-taking game.,The Crew: The Quest for Planet Nine,boardgame,2019
7.89,1659498396.816857,7.734,126163,34875.0,49,"Lead your people, build monuments and make offerings to earn the favour of the gods.",Tzolk'in: The Mayan Calendar,boardgame,2012
8.24,1659498396.816857,7.733,184267,9096.0,50,"Be a part of the first Martian colony, striving to be the best contributor.",On Mars,boardgame,2020
7.84,1659498396.816857,7.729,2651,60401.0,51,"Bid, network, and manage resources in a race to supply the most cities with power.",Power Grid,boardgame,2004
8.36,1659498396.816857,7.724,324856,6499.0,52,Dive into the deep sea in this co-operative trick-taking game.,The Crew: Mission Deep Sea,boardgame,2021
7.97,1659498396.816857,7.712,216132,17836.0,53,"Lead your unique Scottish clan to economic might via production, trade, and export.",Clans of Caledonia,boardgame,2017
7.87,1659498396.816857,7.707,35677,29079.0,54,"Establish a supply chain by collecting resources, building industries, and shipping.",Le Havre,boardgame,2008
7.99,1659498396.816857,7.706,164153,22611.0,55,Play as Rebel or Imperial forces to fulfill mission objectives.,Star Wars: Imperial Assault,boardgame,2014
8.57,1659498396.816857,7.705,55690,8511.0,56,Try to survive in a nightmarish world that lies under eternal darkness.,Kingdom Death: Monster,boardgame,2015
8.01,1659498396.816857,7.703,209010,15803.0,57,Cooperatively program and pilot your mechs to defeat an army of marauding minions.,Mechs vs. Minions,boardgame,2016
7.97,1659498396.816857,7.699,521,14464.0,58,Flick discs and make trick shots in this traditional Canadian dexterity game!,Crokinole,boardgame,1876
7.85,1659498396.816857,7.693,244521,34937.0,59,"Pull ingredients from your stock to make your pot bubble, but hopefully not explode!",The Quacks of Quedlinburg,boardgame,2018
8.56,1659498396.816857,7.691,314040,4788.0,60,Work together during the Cold War to prevent a Soviet bio-threat.,Pandemic Legacy: Season 0,boardgame,2020
8.05,1659498396.816857,7.686,125153,12013.0,61,"Amass a fortune, and stake your reputation by operating a lucrative art gallery.",The Gallerist,boardgame,2015
8.19,1659498396.816857,7.686,161533,8608.0,62,Compete to reconstruct the city of Lisboa after the great earthquake of 1755.,Lisboa,boardgame,2017
8.04,1659498396.816857,7.678,295947,12625.0,63,Create the most harmonious ecosystem as you puzzle together habitats and wildlife.,Cascadia,boardgame,2021
8.02,1659498396.816857,7.675,266810,13046.0,64,Invaders are coming from everywhere.  Keep the faith and defend your homeland.,Paladins of the West Kingdom,boardgame,2019
7.98,1659498396.816857,7.669,180263,19901.0,65,Journey through a vibrant but deadly land to uncover the key to lifting your curse.,The 7th Continent,boardgame,2017
7.78,1659498396.816857,7.669,230802,69607.0,66,Artfully embellish the walls of your palace by drafting the most beautiful tiles.,Azul,boardgame,2017
7.86,1659498396.816857,7.664,72125,27219.0,67,"Build an interstellar civilization by exploration, research, conquest, and diplomacy.",Eclipse,boardgame,2011
7.87,1659498396.816857,7.662,124742,28360.0,68,Megacorporation versus Netrunner in this futuristic cyberpunk game of cat and mouse.,Android: Netrunner,boardgame,2012
7.98,1659498396.816857,7.658,191189,15674.0,69,"Mages defend humanity’s last city, harnessing alien powers to destroy monstrosities.",Aeon's End,boardgame,2016
