avg_rating,extracted_at,geek_rating,id,num_voters,rank,short_description,title,type,year_published
8.13,1663732921.930321,7.766,276025,12731.0,44,Seafarers journey to obtain wealth and fame in the 17th century Caribbean.,Maracaibo,boardgame,2019
8.11,1663732921.930321,7.765,185343,14913.0,45,Use Exosuits & time travel to ensure your vision for the future after the cataclysm.,Anachrony,boardgame,2017
8.08,1663732921.930321,7.761,221107,14766.0,46,The world is a mystery after a devastating pandemic—where will your team go?,Pandemic Legacy: Season 2,boardgame,2017
8.0,1663732921.930321,7.76,205059,31045.0,47,Unravel mysteries in Arkham with your investigative team in this app-guided game.,Mansions of Madness: Second Edition,boardgame,2016
8.33,1663732921.930321,7.751,324856,7253.0,48,Dive into the deep sea in this co-operative trick-taking game.,The Crew: Mission Deep Sea,boardgame,2021
7.91,1663732921.930321,7.742,284083,31208.0,49,Go on a planet-discovering space mission in this cooperative trick-taking game.,The Crew: The Quest for Planet Nine,boardgame,2019
8.24,1663732921.930321,7.738,184267,9393.0,50,"Be a part of the first Martian colony, striving to be the best contributor.",On Mars,boardgame,2020
7.88,1663732921.930321,7.733,126163,35251.0,51,"Lead your people, build monuments and make offerings to earn the favour of the gods.",Tzolk'in: The Mayan Calendar,boardgame,2012
7.83,1663732921.930321,7.727,2651,60730.0,52,"Bid, network, and manage resources in a race to supply the most cities with power.",Power Grid,boardgame,2004
7.97,1663732921.930321,7.711,216132,18025.0,53,"Lead your unique Scottish clan to economic might via production, trade, and export.",Clans of Caledonia,boardgame,2017
7.86,1663732921.930321,7.705,35677,29271.0,54,"Establish a supply chain by collecting resources, building industries, and shipping.",Le Havre,boardgame,2008
7.98,1663732921.930321,7.704,521,14741.0,55,Flick discs and make trick shots in this traditional Canadian dexterity game!,Crokinole,boardgame,1876
7.99,1663732921.930321,7.704,164153,22788.0,56,Play as Rebel or Imperial forces to fulfill mission objectives.,Star Wars: Imperial Assault,boardgame,2014
8.56,1663732921.930321,7.701,55690,8607.0,57,Try to survive in a nightmarish world that lies under eternal darkness.,Kingdom Death: Monster,boardgame,2015
8.0,1663732921.930321,7.698,209010,15947.0,58,Cooperatively program and pilot your mechs to defeat an army of marauding minions.,Mechs vs. Minions,boardgame,2016
8.2,1663732921.930321,7.695,161533,8824.0,59,Compete to reconstruct the city of Lisboa after the great earthquake of 1755.,Lisboa,boardgame,2017
8.53,1663732921.930321,7.694,314040,5039.0,60,Work together during the Cold War to prevent a Soviet bio-threat.,Pandemic Legacy: Season 0,boardgame,2020
8.02,1663732921.930321,7.694,295947,14435.0,61,Create the most harmonious ecosystem as you puzzle together habitats and wildlife.,Cascadia,boardgame,2021
7.85,1663732921.930321,7.693,244521,35998.0,62,"Pull ingredients from your stock to make your pot bubble, but hopefully not explode!",The Quacks of Quedlinburg,boardgame,2018
8.05,1663732921.930321,7.687,125153,12200.0,63,"Amass a fortune, and stake your reputation by operating a lucrative art gallery.",The Gallerist,boardgame,2015
8.02,1663732921.930321,7.676,266810,13426.0,64,Invaders are coming from everywhere.  Keep the faith and defend your homeland.,Paladins of the West Kingdom,boardgame,2019
7.78,1663732921.930321,7.667,230802,70960.0,65,Artfully embellish the walls of your palace by drafting the most beautiful tiles.,Azul,boardgame,2017
7.88,1663732921.930321,7.663,124742,28495.0,66,Megacorporation versus Netrunner in this futuristic cyberpunk game of cat and mouse.,Android: Netrunner,boardgame,2012
7.86,1663732921.930321,7.661,72125,27327.0,67,"Build an interstellar civilization by exploration, research, conquest, and diplomacy.",Eclipse,boardgame,2011
7.96,1663732921.930321,7.656,180263,20110.0,68,Journey through a vibrant but deadly land to uncover the key to lifting your curse.,The 7th Continent,boardgame,2017
7.97,1663732921.930321,7.654,191189,16004.0,69,"Mages defend humanity’s last city, harnessing alien powers to destroy monstrosities.",Aeon's End,boardgame,2016
7.88,1663732921.930321,7.649,25613,18679.0,70,"Lead your civilization through strategic drafting of leaders, technologies, and more.",Through the Ages: A Story of Civilization,boardgame,2006
7.76,1663732921.930321,7.647,28143,51090.0,71,"Worlds await! Colonize, develop and conquer taking advantage of others' choices.",Race for the Galaxy,boardgame,2007
7.81,1663732921.930321,7.645,201808,35449.0,72,Claim your treasures but don't attract the dragon in this deck-building dungeon race.,Clank!: A Deck-Building Adventure,boardgame,2016
8.06,1663732921.930321,7.634,159675,9689.0,73,"Construct dikes, drain bogs, harvest flax and tend to newborn animals in East Frisia.",Fields of Arle,boardgame,2014
7.78,1663732921.930321,7.634,157354,37070.0,74,"Move assassins, elders & builders through Naqala to claim oases & control djinns.",Five Tribes,boardgame,2014
7.9,1663732921.930321,7.629,229853,16801.0,75,Use your worker dice to raise the legendary and breathtaking Pyramid of the Sun.,Teotihuacan: City of Gods,boardgame,2018
7.9,1663732921.930321,7.624,182874,16261.0,76,Serve guests and prepare rooms to be the best hotelier in the Viennese modern age.,Grand Austria Hotel,boardgame,2015
7.98,1663732921.930321,7.624,200680,13597.0,77,"Help your farm to prosper in this updated, streamlined edition of the acclaimed game.",Agricola (Revised Edition),boardgame,2016
7.79,1663732921.930321,7.623,121921,39188.0,78,Work together — with friends or with Friday — to survive on a deserted island.,Robinson Crusoe: Adventures on the Cursed Island,boardgame,2012
