extracted_at,id,rank,title,year_published
1643772154.134234,271055,1,Dwellings of Eldervale,2020
1643772154.134234,342942,2,Ark Nova,2021
1643772154.134234,277659,3,Final Girl,2021
1643772154.134234,191051,4,Outlive,2017
1643772154.134234,316554,5,Dune: Imperium,2020
1643772154.134234,162886,6,Spirit Island,2017
1643772154.134234,312484,7,Lost Ruins of Arnak,2020
1643772154.134234,295947,8,Cascadia,2021
1643772154.134234,167791,9,Terraforming Mars,2016
1643772154.134234,199792,10,Everdell,2018
1643772154.134234,205637,11,Arkham Horror: The Card Game,2016
1643772154.134234,285774,12,Marvel Champions: The Card Game,2019
1643772154.134234,266192,13,Wingspan,2019
1643772154.134234,341945,14,La Granja: Deluxe Master Set,2022
1643772154.134234,174430,15,Gloomhaven,2017
1643772154.134234,237182,16,Root,2018
1643772154.134234,169786,17,Scythe,2016
1643772154.134234,224517,18,Brass: Birmingham,2018
1643772154.134234,231733,19,Obsession,2018
1643772154.134234,349067,20,The Lord of the Rings: The Card Game – Revised Core Set,2022
1643772154.134234,351817,21,Marvel Zombies: A Zombicide Game,2022
1643772154.134234,342031,22,Dune: Imperium – Rise of Ix,2022
1643772154.134234,300217,23,Merchants of the Dark Road,2022
1643772154.134234,255984,24,Sleeping Gods,2021
1643772154.134234,293014,25,Nidavellir,2020
1643772154.134234,342070,26,Thunder Road: Vendetta,2022
1643772154.134234,352695,27,Oranienburger Kanal,2022
1643772154.134234,317985,28,Beyond the Sun,2020
1643772154.134234,328871,29,Terraforming Mars: Ares Expedition,2021
1643772154.134234,167355,30,Nemesis,2018
1643772154.134234,244521,31,The Quacks of Quedlinburg,2018
1643772154.134234,323612,32,Bitoku,2021
1643772154.134234,256680,33,Return to Dark Tower,2022
1643772154.134234,291457,34,Gloomhaven: Jaws of the Lion,2020
1643772154.134234,170216,35,Blood Rage,2015
1643772154.134234,220308,36,Gaia Project,2017
1643772154.134234,348872,37,The Bad Karmas And The Curse of the Zodiac,2023
1643772154.134234,177736,38,A Feast for Odin,2016
1643772154.134234,77423,39,The Lord of the Rings: The Card Game,2011
1643772154.134234,193738,40,Great Western Trail,2016
1643772154.134234,192458,41,51st State: Master Set,2016
1643772154.134234,349051,42,Purple Haze,2023
1643772154.134234,343905,43,Boonlake,2021
1643772154.134234,329082,44,Radlands,2021
1643772154.134234,253344,45,Cthulhu: Death May Die,2019
1643772154.134234,230802,46,Azul,2017
1643772154.134234,246900,47,Eclipse: Second Dawn for the Galaxy,2020
1643772154.134234,173346,48,7 Wonders Duel,2015
1643772154.134234,344332,49,Total War: ROME – The Board Game,2022
1643772154.134234,115746,50,War of the Ring: Second Edition,2012
