extracted_at,id,rank,title,year_published
1648696640.947143,351526,1,Encyclopedia,2022
1648696640.947143,342942,2,Ark Nova,2021
1648696640.947143,276182,3,Dead Reckoning,2022
1648696640.947143,256680,4,Return to Dark Tower,2021
1648696640.947143,357659,5,Nightmare Cathedral,2023
1648696640.947143,295947,6,Cascadia,2021
1648696640.947143,316554,7,Dune: Imperium,2020
1648696640.947143,292375,8,The Great Wall,2021
1648696640.947143,304051,9,Creature Comforts,2022
1648696640.947143,276086,10,Hamlet: The Village Building Game,2022
1648696640.947143,328871,11,Terraforming Mars: Ares Expedition,2021
1648696640.947143,162886,12,Spirit Island,2017
1648696640.947143,312484,13,Lost Ruins of Arnak,2020
1648696640.947143,295374,14,Long Shot: The Dice Game,2022
1648696640.947143,167791,15,Terraforming Mars,2016
1648696640.947143,266192,16,Wingspan,2019
1648696640.947143,237182,17,Root,2018
1648696640.947143,205637,18,Arkham Horror: The Card Game,2016
1648696640.947143,174430,19,Gloomhaven,2017
1648696640.947143,285774,20,Marvel Champions: The Card Game,2019
1648696640.947143,359394,21,My Island,2022
1648696640.947143,291457,22,Gloomhaven: Jaws of the Lion,2020
1648696640.947143,349793,23,Age of Rome,2023
1648696640.947143,199792,24,Everdell,2018
1648696640.947143,224517,25,Brass: Birmingham,2018
1648696640.947143,284121,26,Uprising: Curse of the Last Emperor,2021
1648696640.947143,352567,27,Jurassic World: The Legacy of Isla Nublar,2022
1648696640.947143,167355,28,Nemesis,2018
1648696640.947143,264220,29,Tainted Grail: The Fall of Avalon,2019
1648696640.947143,169786,30,Scythe,2016
1648696640.947143,300217,31,Merchants of the Dark Road,2022
1648696640.947143,255984,32,Sleeping Gods,2021
1648696640.947143,331787,33,Tiny Epic Dungeons,2021
1648696640.947143,304531,34,Ascension Tactics: Miniatures Deckbuilding Game,2022
1648696640.947143,353677,35,Darkest Doom,2023
1648696640.947143,319966,36,The King Is Dead: Second Edition,2020
1648696640.947143,343905,37,Boonlake,2021
1648696640.947143,244521,38,The Quacks of Quedlinburg,2018
1648696640.947143,115746,39,War of the Ring: Second Edition,2011
1648696640.947143,124361,40,Concordia,2013
1648696640.947143,342562,41,ROVE: Results-Oriented Versatile Explorer,2021
1648696640.947143,42,42,Tigris & Euphrates,1997
1648696640.947143,246900,43,Eclipse: Second Dawn for the Galaxy,2020
1648696640.947143,220308,44,Gaia Project,2017
1648696640.947143,193738,45,Great Western Trail,2016
1648696640.947143,281259,46,The Isle of Cats,2019
1648696640.947143,177736,47,A Feast for Odin,2016
1648696640.947143,291572,48,Oath: Chronicles of Empire and Exile,2021
1648696640.947143,350316,49,Wayfarers of the South Tigris,2022
1648696640.947143,267979,50,Tiwanaku,2022
