extracted_at,id,rank,title,year_published
1653449510.77508,291453,1,SCOUT,2019
1653449510.77508,342942,2,Ark Nova,2021
1653449510.77508,363204,3,FLOE,2023
1653449510.77508,300905,4,Top Ten,2020
1653449510.77508,328479,5,Living Forest,2021
1653449510.77508,363369,6,Starship Captains,2022
1653449510.77508,246784,7,Cryptid,2018
1653449510.77508,322656,8,burncycle,2022
1653449510.77508,295947,9,Cascadia,2021
1653449510.77508,357203,10,Longboard,2022
1653449510.77508,359871,11,Arcs,2023
1653449510.77508,316554,12,Dune: Imperium,2020
1653449510.77508,354886,13,Mit Quacks & Co. nach Quedlinburg,2022
1653449510.77508,311610,14,Blazon,2022
1653449510.77508,285774,15,Marvel Champions: The Card Game,2019
1653449510.77508,347013,16,Get on Board: New York & London,2022
1653449510.77508,162886,17,Spirit Island,2017
1653449510.77508,227935,18,Wonderland's War,2022
1653449510.77508,12,19,Ra,1999
1653449510.77508,310873,20,Carnegie,2022
1653449510.77508,354892,21,Auch schon clever,2022
1653449510.77508,167791,22,Terraforming Mars,2016
1653449510.77508,237182,23,Root,2018
1653449510.77508,288080,24,Dice Realms,2022
1653449510.77508,205637,25,Arkham Horror: The Card Game,2016
1653449510.77508,84876,26,The Castles of Burgundy,2011
1653449510.77508,312484,27,Lost Ruins of Arnak,2020
1653449510.77508,311193,28,Anno 1800,2020
1653449510.77508,174430,29,Gloomhaven,2017
1653449510.77508,224517,30,Brass: Birmingham,2018
1653449510.77508,360232,31,Galaxy Trucker: Keep on Trucking,2022
1653449510.77508,299684,32,Khôra: Rise of an Empire,2021
1653449510.77508,266192,33,Wingspan,2019
1653449510.77508,284189,34,Foundations of Rome,2022
1653449510.77508,341919,35,Magic Mountain,2021
1653449510.77508,320718,36,Hidden Leaders,2022
1653449510.77508,303669,37,Magic Rabbit,2020
1653449510.77508,352263,38,Through Ice and Snow,2022
1653449510.77508,199792,39,Everdell,2018
1653449510.77508,318560,40,Witchstone,2021
1653449510.77508,352697,41,Resist!,2022
1653449510.77508,331571,42,My Gold Mine,2021
1653449510.77508,246900,43,Eclipse: Second Dawn for the Galaxy,2020
1653449510.77508,256680,44,Return to Dark Tower,2022
1653449510.77508,169786,45,Scythe,2016
1653449510.77508,167355,46,Nemesis,2018
1653449510.77508,356033,47,Libertalia: Winds of Galecrest,2022
1653449510.77508,291457,48,Gloomhaven: Jaws of the Lion,2020
1653449510.77508,255984,49,Sleeping Gods,2021
1653449510.77508,244521,50,The Quacks of Quedlinburg,2018
