extracted_at,id,rank,title,year_published
1642735339.444479,354934,1,Legacy of Yu,2022
1642735339.444479,351817,2,Marvel Zombies: A Zombicide Game,2023
1642735339.444479,342942,3,Ark Nova,2021
1642735339.444479,300217,4,Merchants of the Dark Road,2022
1642735339.444479,316090,5,Vivid Memories,2022
1642735339.444479,316554,6,Dune: Imperium,2020
1642735339.444479,231733,7,Obsession,2018
1642735339.444479,162886,8,Spirit Island,2017
1642735339.444479,312484,9,Lost Ruins of Arnak,2020
1642735339.444479,255984,10,Sleeping Gods,2021
1642735339.444479,167791,11,Terraforming Mars,2016
1642735339.444479,205637,12,Arkham Horror: The Card Game,2016
1642735339.444479,285774,13,Marvel Champions: The Card Game,2019
1642735339.444479,295947,14,Cascadia,2021
1642735339.444479,174430,15,Gloomhaven,2017
1642735339.444479,237182,16,Root,2018
1642735339.444479,353815,17,Skate Summer,2022
1642735339.444479,354570,18,Undaunted: Stalingrad,2022
1642735339.444479,199792,19,Everdell,2018
1642735339.444479,266192,20,Wingspan,2019
1642735339.444479,328871,21,Terraforming Mars: Ares Expedition,2021
1642735339.444479,167355,22,Nemesis,2018
1642735339.444479,177736,23,A Feast for Odin,2016
1642735339.444479,224517,24,Brass: Birmingham,2018
1642735339.444479,169786,25,Scythe,2016
1642735339.444479,220308,26,Gaia Project,2017
1642735339.444479,244521,27,The Quacks of Quedlinburg,2018
1642735339.444479,341169,28,Great Western Trail (Second Edition),2021
1642735339.444479,291457,29,Gloomhaven: Jaws of the Lion,2020
1642735339.444479,256960,30,Pax Pamir: Second Edition,2019
1642735339.444479,329082,31,Radlands,2021
1642735339.444479,193738,32,Great Western Trail,2016
1642735339.444479,310100,33,Nemesis: Lockdown,2021
1642735339.444479,343905,34,Boonlake,2021
1642735339.444479,77423,35,The Lord of the Rings: The Card Game,2011
1642735339.444479,285967,36,Ankh: Gods of Egypt,2021
1642735339.444479,84876,37,The Castles of Burgundy,2011
1642735339.444479,246900,38,Eclipse: Second Dawn for the Galaxy,2020
1642735339.444479,304783,39,Hadrian's Wall,2021
1642735339.444479,291572,40,Oath: Chronicles of Empire and Exile,2021
1642735339.444479,276025,41,Maracaibo,2019
1642735339.444479,323612,42,Bitoku,2021
1642735339.444479,342031,43,Dune: Imperium – Rise of Ix,2021
1642735339.444479,115746,44,War of the Ring: Second Edition,2012
1642735339.444479,322588,45,Origins: First Builders,2021
1642735339.444479,227002,46,Rise of the Necromancers,2018
1642735339.444479,286096,47,Tapestry,2019
1642735339.444479,300531,48,Paleo,2020
1642735339.444479,266524,49,PARKS,2019
1642735339.444479,330510,50,Yucatan,2023
