extracted_at,id,rank,title,year_published
1642130778.136493,227002,1,Rise of the Necromancers,2018
1642130778.136493,300217,2,Merchants of the Dark Road,2022
1642130778.136493,342942,3,Ark Nova,2021
1642130778.136493,316554,4,Dune: Imperium,2020
1642130778.136493,332853,5,Dom Pierre,2022
1642130778.136493,312484,6,Lost Ruins of Arnak,2020
1642130778.136493,162886,7,Spirit Island,2017
1642130778.136493,292375,8,The Great Wall,2021
1642130778.136493,167791,9,Terraforming Mars,2016
1642130778.136493,255984,10,Sleeping Gods,2021
1642130778.136493,330510,11,Yucatan,2022
1642130778.136493,285774,12,Marvel Champions: The Card Game,2019
1642130778.136493,205637,13,Arkham Horror: The Card Game,2016
1642130778.136493,295947,14,Cascadia,2021
1642130778.136493,174430,15,Gloomhaven,2017
1642130778.136493,266192,16,Wingspan,2019
1642130778.136493,199792,17,Everdell,2018
1642130778.136493,237182,18,Root,2018
1642130778.136493,224517,19,Brass: Birmingham,2018
1642130778.136493,328871,20,Terraforming Mars: Ares Expedition,2021
1642130778.136493,167355,21,Nemesis,2018
1642130778.136493,177736,22,A Feast for Odin,2016
1642130778.136493,329082,23,Radlands,2021
1642130778.136493,169786,24,Scythe,2016
1642130778.136493,220308,25,Gaia Project,2017
1642130778.136493,344789,26,Skytear Horde,2021
1642130778.136493,231733,27,Obsession,2018
1642130778.136493,291457,28,Gloomhaven: Jaws of the Lion,2020
1642130778.136493,286096,29,Tapestry,2019
1642130778.136493,256960,30,Pax Pamir: Second Edition,2019
1642130778.136493,323612,31,Bitoku,2021
1642130778.136493,296151,32,Viscounts of the West Kingdom,2020
1642130778.136493,317985,33,Beyond the Sun,2020
1642130778.136493,312859,34,Townsfolk Tussle,2022
1642130778.136493,342031,35,Dune: Imperium – Rise of Ix,2021
1642130778.136493,115746,36,War of the Ring: Second Edition,2012
1642130778.136493,55690,37,Kingdom Death: Monster,2015
1642130778.136493,246900,38,Eclipse: Second Dawn for the Galaxy,2020
1642130778.136493,84876,39,The Castles of Burgundy,2011
1642130778.136493,193738,40,Great Western Trail,2016
1642130778.136493,249277,41,Brazil: Imperial,2021
1642130778.136493,328565,42,Caper: Europe,2021
1642130778.136493,244521,43,The Quacks of Quedlinburg,2018
1642130778.136493,351817,44,Marvel Zombies: A Zombicide Game,2022
1642130778.136493,192135,45,Too Many Bones,2017
1642130778.136493,291572,46,Oath: Chronicles of Empire and Exile,2021
1642130778.136493,173346,47,7 Wonders Duel,2015
1642130778.136493,233078,48,Twilight Imperium: Fourth Edition,2017
1642130778.136493,183394,49,Viticulture Essential Edition,2015
1642130778.136493,124361,50,Concordia,2013
