extracted_at,id,rank,title,year_published
1657942474.991391,332772,1,Revive,2022
1657942474.991391,318985,2,Puerto Rico 1897,2020
1657942474.991391,342942,3,Ark Nova,2021
1657942474.991391,317985,4,Beyond the Sun,2020
1657942474.991391,358386,5,Moon,2023
1657942474.991391,251661,6,Oathsworn: Into the Deepwood,2022
1657942474.991391,328866,7,My Father's Work,2022
1657942474.991391,162886,8,Spirit Island,2017
1657942474.991391,355224,9,Isle of Trains: All Aboard,2022
1657942474.991391,359402,10,Ahoy,2022
1657942474.991391,362986,11,Tribes of the Wind,2022
1657942474.991391,273910,12,Stars of Akarios,2022
1657942474.991391,316554,13,Dune: Imperium,2020
1657942474.991391,205637,14,Arkham Horror: The Card Game,2016
1657942474.991391,298047,15,Marvel United,2020
1657942474.991391,285774,16,Marvel Champions: The Card Game,2019
1657942474.991391,274124,17,Northgard: Uncharted Lands,2022
1657942474.991391,167791,18,Terraforming Mars,2016
1657942474.991391,312484,19,Lost Ruins of Arnak,2020
1657942474.991391,360206,20,Discordia,2022
1657942474.991391,295947,21,Cascadia,2021
1657942474.991391,174430,22,Gloomhaven,2017
1657942474.991391,266192,23,Wingspan,2019
1657942474.991391,310873,24,Carnegie,2022
1657942474.991391,237182,25,Root,2018
1657942474.991391,224517,26,Brass: Birmingham,2018
1657942474.991391,199792,27,Everdell,2018
1657942474.991391,240776,28,Ruins of Mars,2021
1657942474.991391,169786,29,Scythe,2016
1657942474.991391,350933,30,The Guild of Merchant Explorers,2022
1657942474.991391,328871,31,Terraforming Mars: Ares Expedition,2021
1657942474.991391,227935,32,Wonderland's War,2022
1657942474.991391,291457,33,Gloomhaven: Jaws of the Lion,2020
1657942474.991391,354568,34,Amun-Re: 20th Anniversary Edition,2023
1657942474.991391,167355,35,Nemesis,2018
1657942474.991391,255984,36,Sleeping Gods,2021
1657942474.991391,251247,37,Barrage,2019
1657942474.991391,246900,38,Eclipse: Second Dawn for the Galaxy,2020
1657942474.991391,343905,39,Boonlake,2021
1657942474.991391,177736,40,A Feast for Odin,2016
1657942474.991391,356414,41,Space Station Phoenix,2022
1657942474.991391,314491,42,Meadow,2021
1657942474.991391,322708,43,Descent: Legends of the Dark,2021
1657942474.991391,350689,44,Wormholes,2022
1657942474.991391,291453,45,SCOUT,2019
1657942474.991391,363369,46,Starship Captains,2022
1657942474.991391,233078,47,Twilight Imperium: Fourth Edition,2017
1657942474.991391,3076,48,Puerto Rico,2002
1657942474.991391,271055,49,Dwellings of Eldervale,2020
1657942474.991391,84876,50,The Castles of Burgundy,2011
