extracted_at,id,rank,title,year_published
1637378656.729852,337765,1,Brian Boru: High King of Ireland,2021
1637378656.729852,699,2,HeroQuest,1989
1637378656.729852,316554,3,Dune: Imperium,2020
1637378656.729852,318084,4,Furnace,2021
1637378656.729852,340237,5,Wonder Book,2021
1637378656.729852,312484,6,Lost Ruins of Arnak,2020
1637378656.729852,331106,7,The Witcher: Old World,2022
1637378656.729852,321608,8,Hegemony: Lead Your Class to Victory,2022
1637378656.729852,295947,9,Cascadia,2021
1637378656.729852,340466,10,Unfathomable,2021
1637378656.729852,237179,11,Weather Machine,2022
1637378656.729852,205637,12,Arkham Horror: The Card Game,2016
1637378656.729852,162886,13,Spirit Island,2017
1637378656.729852,343905,14,Boonlake,2021
1637378656.729852,167791,15,Terraforming Mars,2016
1637378656.729852,199792,16,Everdell,2018
1637378656.729852,290484,17,Unsettled,2021
1637378656.729852,285774,18,Marvel Champions: The Card Game,2019
1637378656.729852,174430,19,Gloomhaven,2017
1637378656.729852,266192,20,Wingspan,2019
1637378656.729852,342031,21,Dune: Imperium – Rise of Ix,2021
1637378656.729852,349063,22,Robotopia,2022
1637378656.729852,224517,23,Brass: Birmingham,2018
1637378656.729852,237182,24,Root,2018
1637378656.729852,256960,25,Pax Pamir: Second Edition,2019
1637378656.729852,220308,26,Gaia Project,2017
1637378656.729852,246900,27,Eclipse: Second Dawn for the Galaxy,2020
1637378656.729852,255984,28,Sleeping Gods,2021
1637378656.729852,343562,29,Horrified: American Monsters,2021
1637378656.729852,167355,30,Nemesis,2018
1637378656.729852,175914,31,Food Chain Magnate,2015
1637378656.729852,299659,32,Clash of Cultures: Monumental Edition,2021
1637378656.729852,227224,33,The Red Cathedral,2020
1637378656.729852,254708,34,Roll Player Adventures,2021
1637378656.729852,169786,35,Scythe,2016
1637378656.729852,193738,36,Great Western Trail,2016
1637378656.729852,341169,37,Great Western Trail (Second Edition),2021
1637378656.729852,291572,38,Oath: Chronicles of Empire and Exile,2021
1637378656.729852,328871,39,Terraforming Mars: Ares Expedition,2021
1637378656.729852,291457,40,Gloomhaven: Jaws of the Lion,2020
1637378656.729852,285967,41,Ankh: Gods of Egypt,2021
1637378656.729852,286096,42,Tapestry,2019
1637378656.729852,342372,43,The Elder Scrolls V: Skyrim – The Adventure Game,2022
1637378656.729852,317985,44,Beyond the Sun,2020
1637378656.729852,177736,45,A Feast for Odin,2016
1637378656.729852,192135,46,Too Many Bones,2017
1637378656.729852,342942,47,Ark Nova,2021
1637378656.729852,276025,48,Maracaibo,2019
1637378656.729852,177478,49,IKI,2015
1637378656.729852,233078,50,Twilight Imperium: Fourth Edition,2017
