extracted_at,id,rank,title,year_published
1660621213.460121,351913,1,Tiletum,2022
1660621213.460121,342942,2,Ark Nova,2021
1660621213.460121,361545,3,Twilight Inscription,2022
1660621213.460121,276182,4,Dead Reckoning,2022
1660621213.460121,251661,5,Oathsworn: Into the Deepwood,2022
1660621213.460121,284189,6,Foundations of Rome,2022
1660621213.460121,356123,7,Turing Machine,2022
1660621213.460121,345972,8,Cat in the Box: Deluxe Edition,2022
1660621213.460121,162886,9,Spirit Island,2017
1660621213.460121,316554,10,Dune: Imperium,2020
1660621213.460121,357563,11,Akropolis,2022
1660621213.460121,224517,12,Brass: Birmingham,2018
1660621213.460121,266192,13,Wingspan,2019
1660621213.460121,295947,14,Cascadia,2021
1660621213.460121,359402,15,Ahoy,2022
1660621213.460121,285774,16,Marvel Champions: The Card Game,2019
1660621213.460121,305096,17,Endless Winter: Paleoamericans,2022
1660621213.460121,205637,18,Arkham Horror: The Card Game,2016
1660621213.460121,167791,19,Terraforming Mars,2016
1660621213.460121,199792,20,Everdell,2018
1660621213.460121,174430,21,Gloomhaven,2017
1660621213.460121,312484,22,Lost Ruins of Arnak,2020
1660621213.460121,362944,23,War of the Ring: The Card Game,2022
1660621213.460121,227935,24,Wonderland's War,2022
1660621213.460121,237182,25,Root,2018
1660621213.460121,270239,26,Moonrakers,2020
1660621213.460121,342894,27,Mythic Mischief,2022
1660621213.460121,169786,28,Scythe,2016
1660621213.460121,310873,29,Carnegie,2022
1660621213.460121,336986,30,Flamecraft,2022
1660621213.460121,367220,31,Sea Salt & Paper,2022
1660621213.460121,191231,32,Via Nebula,2016
1660621213.460121,167355,33,Nemesis,2018
1660621213.460121,255984,34,Sleeping Gods,2021
1660621213.460121,328866,35,My Father's Work,2022
1660621213.460121,233078,36,Twilight Imperium: Fourth Edition,2017
1660621213.460121,328479,37,Living Forest,2021
1660621213.460121,246900,38,Eclipse: Second Dawn for the Galaxy,2020
1660621213.460121,291457,39,Gloomhaven: Jaws of the Lion,2020
1660621213.460121,256680,40,Return to Dark Tower,2022
1660621213.460121,230802,41,Azul,2017
1660621213.460121,251247,42,Barrage,2019
1660621213.460121,364073,43,Splendor Duel,2022
1660621213.460121,244521,44,The Quacks of Quedlinburg,2018
1660621213.460121,220308,45,Gaia Project,2017
1660621213.460121,274124,46,Northgard: Uncharted Lands,2022
1660621213.460121,193738,47,Great Western Trail,2016
1660621213.460121,284587,48,Bloodstones,2023
1660621213.460121,115746,49,War of the Ring: Second Edition,2011
1660621213.460121,280794,50,Etherfields,2020
