extracted_at,id,rank,title,year_published
1644549737.419597,342942,1,Ark Nova,2021
1644549737.419597,356033,2,Libertalia: Winds of Galecrest,2022
1644549737.419597,284653,3,Mind MGMT: The Psychic Espionage “Game.”,2021
1644549737.419597,280834,4,For Science!,2021
1644549737.419597,355326,5,Heroes of Might & Magic III: The Board Game,2022
1644549737.419597,352179,6,Astro Knights,2022
1644549737.419597,349051,7,Purple Haze,2023
1644549737.419597,271055,8,Dwellings of Eldervale,2020
1644549737.419597,316554,9,Dune: Imperium,2020
1644549737.419597,329082,10,Radlands,2021
1644549737.419597,314745,11,Now or Never,2022
1644549737.419597,279886,12,Iron Forest,
1644549737.419597,343905,13,Boonlake,2021
1644549737.419597,312484,14,Lost Ruins of Arnak,2020
1644549737.419597,205637,15,Arkham Horror: The Card Game,2016
1644549737.419597,162886,16,Spirit Island,2017
1644549737.419597,352697,17,Resist!,2022
1644549737.419597,167791,18,Terraforming Mars,2016
1644549737.419597,331787,19,Tiny Epic Dungeons,2021
1644549737.419597,237182,20,Root,2018
1644549737.419597,328871,21,Terraforming Mars: Ares Expedition,2021
1644549737.419597,285774,22,Marvel Champions: The Card Game,2019
1644549737.419597,331820,23,Rolling Heights,2022
1644549737.419597,177736,24,A Feast for Odin,2016
1644549737.419597,174430,25,Gloomhaven,2017
1644549737.419597,266192,26,Wingspan,2019
1644549737.419597,342031,27,Dune: Imperium – Rise of Ix,2022
1644549737.419597,199792,28,Everdell,2018
1644549737.419597,328908,29,The Initiative,2021
1644549737.419597,295947,30,Cascadia,2021
1644549737.419597,169786,31,Scythe,2016
1644549737.419597,167355,32,Nemesis,2018
1644549737.419597,231733,33,Obsession,2018
1644549737.419597,224517,34,Brass: Birmingham,2018
1644549737.419597,255984,35,Sleeping Gods,2021
1644549737.419597,310100,36,Nemesis: Lockdown,2021
1644549737.419597,291457,37,Gloomhaven: Jaws of the Lion,2020
1644549737.419597,125618,38,Libertalia,2012
1644549737.419597,77423,39,The Lord of the Rings: The Card Game,2011
1644549737.419597,317985,40,Beyond the Sun,2020
1644549737.419597,220308,41,Gaia Project,2017
1644549737.419597,353411,42,Wreckland Run,2022
1644549737.419597,146886,43,La Granja,2014
1644549737.419597,244521,44,The Quacks of Quedlinburg,2018
1644549737.419597,315610,45,Massive Darkness 2: Hellscape,2022
1644549737.419597,193738,46,Great Western Trail,2016
1644549737.419597,341169,47,Great Western Trail (Second Edition),2021
1644549737.419597,246900,48,Eclipse: Second Dawn for the Galaxy,2020
1644549737.419597,339789,49,Welcome to the Moon,2021
1644549737.419597,265402,50,In the Hall of the Mountain King,2019
