extracted_at,id,rank,title,year_published
1636341872.055068,350205,1,Horseless Carriage,2022
1636341872.055068,350316,2,Wayfarers of the South Tigris,2022
1636341872.055068,342372,3,The Elder Scrolls V: Skyrim – The Adventure Game,2022
1636341872.055068,316554,4,Dune: Imperium,2020
1636341872.055068,349998,5,Tapestry: Arts & Architecture,2022
1636341872.055068,340466,6,Unfathomable,2021
1636341872.055068,290484,7,Unsettled,2021
1636341872.055068,312484,8,Lost Ruins of Arnak,2020
1636341872.055068,237179,9,Weather Machine,2022
1636341872.055068,192135,10,Too Many Bones,2017
1636341872.055068,342942,11,Ark Nova,2021
1636341872.055068,205637,12,Arkham Horror: The Card Game,2016
1636341872.055068,311193,13,Anno 1800,2020
1636341872.055068,343905,14,Boonlake,2021
1636341872.055068,162886,15,Spirit Island,2017
1636341872.055068,167791,16,Terraforming Mars,2016
1636341872.055068,266192,17,Wingspan,2019
1636341872.055068,199792,18,Everdell,2018
1636341872.055068,285774,19,Marvel Champions: The Card Game,2019
1636341872.055068,174430,20,Gloomhaven,2017
1636341872.055068,286096,21,Tapestry,2019
1636341872.055068,330950,22,Age of Galaxy,2021
1636341872.055068,237182,23,Root,2018
1636341872.055068,285967,24,Ankh: Gods of Egypt,2021
1636341872.055068,295947,25,Cascadia,2021
1636341872.055068,224517,26,Brass: Birmingham,2018
1636341872.055068,341165,27,Dune: A Game of Conquest and Diplomacy,2021
1636341872.055068,167355,28,Nemesis,2018
1636341872.055068,346703,29,7 Wonders: Architects,2021
1636341872.055068,169786,30,Scythe,2016
1636341872.055068,291572,31,Oath: Chronicles of Empire and Exile,2021
1636341872.055068,323612,32,Bitoku,2021
1636341872.055068,246900,33,Eclipse: Second Dawn for the Galaxy,2020
1636341872.055068,317457,34,Dinosaur World,2021
1636341872.055068,318084,35,Furnace,2021
1636341872.055068,255984,36,Sleeping Gods,2021
1636341872.055068,264647,37,Age of Civilization,2019
1636341872.055068,177478,38,IKI,2015
1636341872.055068,291457,39,Gloomhaven: Jaws of the Lion,2020
1636341872.055068,341169,40,Great Western Trail (Second Edition),2021
1636341872.055068,230802,41,Azul,2017
1636341872.055068,298383,42,Golem,2021
1636341872.055068,220308,43,Gaia Project,2017
1636341872.055068,299659,44,Clash of Cultures: Monumental Edition,2021
1636341872.055068,175914,45,Food Chain Magnate,2015
1636341872.055068,340865,46,Lords of Ragnarok,2022
1636341872.055068,284083,47,The Crew: The Quest for Planet Nine,2019
1636341872.055068,193738,48,Great Western Trail,2016
1636341872.055068,283355,49,Dune,2019
1636341872.055068,233078,50,Twilight Imperium: Fourth Edition,2017
