extracted_at,id,rank,title,year_published
1659326013.914854,342942,1,Ark Nova,2021
1659326013.914854,284587,2,Bloodstones,2023
1659326013.914854,251661,3,Oathsworn: Into the Deepwood,2022
1659326013.914854,367498,4,Horizons of Spirit Island,2022
1659326013.914854,295785,5,Euthia: Torment of Resurrection,2021
1659326013.914854,328866,6,My Father's Work,2022
1659326013.914854,227935,7,Wonderland's War,2022
1659326013.914854,199792,8,Everdell,2018
1659326013.914854,316554,9,Dune: Imperium,2020
1659326013.914854,162886,10,Spirit Island,2017
1659326013.914854,367379,11,Deal with the Devil,2022
1659326013.914854,274124,12,Northgard: Uncharted Lands,2022
1659326013.914854,237182,13,Root,2018
1659326013.914854,256680,14,Return to Dark Tower,2022
1659326013.914854,364541,15,Knight Fall,2022
1659326013.914854,295947,16,Cascadia,2021
1659326013.914854,367466,17,Dune: Imperium – Immortality,2022
1659326013.914854,360471,18,Aquamarine,2022
1659326013.914854,167791,19,Terraforming Mars,2016
1659326013.914854,310873,20,Carnegie,2022
1659326013.914854,312484,21,Lost Ruins of Arnak,2020
1659326013.914854,285774,22,Marvel Champions: The Card Game,2019
1659326013.914854,266192,23,Wingspan,2019
1659326013.914854,174430,24,Gloomhaven,2017
1659326013.914854,270239,25,Moonrakers,2020
1659326013.914854,224517,26,Brass: Birmingham,2018
1659326013.914854,273910,27,Stars of Akarios,2022
1659326013.914854,205637,28,Arkham Horror: The Card Game,2016
1659326013.914854,258779,29,Planet Unknown,2022
1659326013.914854,269385,30,The Lord of the Rings: Journeys in Middle-Earth,2019
1659326013.914854,169786,31,Scythe,2016
1659326013.914854,167355,32,Nemesis,2018
1659326013.914854,328479,33,Living Forest,2021
1659326013.914854,350933,34,The Guild of Merchant Explorers,2022
1659326013.914854,276182,35,Dead Reckoning,2022
1659326013.914854,246900,36,Eclipse: Second Dawn for the Galaxy,2020
1659326013.914854,255984,37,Sleeping Gods,2021
1659326013.914854,233078,38,Twilight Imperium: Fourth Edition,2017
1659326013.914854,24480,39,The Pillars of the Earth,2006
1659326013.914854,291457,40,Gloomhaven: Jaws of the Lion,2020
1659326013.914854,251247,41,Barrage,2019
1659326013.914854,220308,42,Gaia Project,2017
1659326013.914854,115746,43,War of the Ring: Second Edition,2011
1659326013.914854,328871,44,Terraforming Mars: Ares Expedition,2021
1659326013.914854,284189,45,Foundations of Rome,2022
1659326013.914854,230802,46,Azul,2017
1659326013.914854,317985,47,Beyond the Sun,2020
1659326013.914854,192135,48,Too Many Bones,2017
1659326013.914854,253759,49,Paint the Roses,2022
1659326013.914854,244521,50,The Quacks of Quedlinburg,2018
