extracted_at,id,rank,title,year_published
1654226912.883238,328866,1,My Father's Work,2022
1654226912.883238,363622,2,Castles of Burgundy: Special Edition,2023
1654226912.883238,359871,3,Arcs,2023
1654226912.883238,342942,4,Ark Nova,2021
1654226912.883238,364011,5,Great Western Trail: Argentina,2022
1654226912.883238,84876,6,The Castles of Burgundy,2011
1654226912.883238,363369,7,Starship Captains,2022
1654226912.883238,361545,8,Twilight Inscription,2022
1654226912.883238,348073,9,Crescent Moon,2022
1654226912.883238,361503,10,RuneScape Kingdoms: Shadow of Elvarg,2023
1654226912.883238,359927,11,The Breach,2023
1654226912.883238,295262,12,Sniper Elite: The Board Game,2022
1654226912.883238,316554,13,Dune: Imperium,2020
1654226912.883238,162886,14,Spirit Island,2017
1654226912.883238,310873,15,Carnegie,2022
1654226912.883238,295947,16,Cascadia,2021
1654226912.883238,285967,17,Ankh: Gods of Egypt,2021
1654226912.883238,20022,18,Terra Nova,2006
1654226912.883238,237182,19,Root,2018
1654226912.883238,291453,20,SCOUT,2019
1654226912.883238,285774,21,Marvel Champions: The Card Game,2019
1654226912.883238,288080,22,Dice Realms,2022
1654226912.883238,227935,23,Wonderland's War,2022
1654226912.883238,362452,24,Atiwa,2022
1654226912.883238,205637,25,Arkham Horror: The Card Game,2016
1654226912.883238,312484,26,Lost Ruins of Arnak,2020
1654226912.883238,322656,27,burncycle,2022
1654226912.883238,167791,28,Terraforming Mars,2016
1654226912.883238,224517,29,Brass: Birmingham,2018
1654226912.883238,174430,30,Gloomhaven,2017
1654226912.883238,266192,31,Wingspan,2019
1654226912.883238,255984,32,Sleeping Gods,2021
1654226912.883238,199792,33,Everdell,2018
1654226912.883238,248005,34,Ganymede,2018
1654226912.883238,360226,35,Viticulture World: Cooperative Expansion,2022
1654226912.883238,193738,36,Great Western Trail,2016
1654226912.883238,120677,37,Terra Mystica,2012
1654226912.883238,341169,38,Great Western Trail (Second Edition),2021
1654226912.883238,167355,39,Nemesis,2018
1654226912.883238,169786,40,Scythe,2016
1654226912.883238,256997,41,Perseverance: Castaway Chronicles – Episodes 1 & 2,2022
1654226912.883238,291572,42,Oath: Chronicles of Empire and Exile,2021
1654226912.883238,124742,43,Android: Netrunner,2012
1654226912.883238,183394,44,Viticulture Essential Edition,2015
1654226912.883238,220308,45,Gaia Project,2017
1654226912.883238,330881,46,The Flood,2023
1654226912.883238,295293,47,The Thing: The Boardgame,2022
1654226912.883238,284189,48,Foundations of Rome,2022
1654226912.883238,246900,49,Eclipse: Second Dawn for the Galaxy,2020
1654226912.883238,291457,50,Gloomhaven: Jaws of the Lion,2020
