extracted_at,id,rank,title,year_published
1655695715.79727,298231,1,Skyrise,2023
1655695715.79727,342942,2,Ark Nova,2021
1655695715.79727,360692,3,Septima,2023
1655695715.79727,365056,4,Village: Big Box,2022
1655695715.79727,361469,5,Bretwalda,2023
1655695715.79727,328124,6,Bot Factory,2023
1655695715.79727,338326,7,Clash of Galliformes,2022
1655695715.79727,162886,8,Spirit Island,2017
1655695715.79727,25568,9,Metropolys,2008
1655695715.79727,310873,10,Carnegie,2022
1655695715.79727,328866,11,My Father's Work,2022
1655695715.79727,347102,12,Star Wars: Outer Rim – Unfinished Business,2022
1655695715.79727,271896,13,Star Wars: Outer Rim,2019
1655695715.79727,356414,14,Space Station Phoenix,2022
1655695715.79727,316554,15,Dune: Imperium,2020
1655695715.79727,104006,16,Village,2011
1655695715.79727,295947,17,Cascadia,2021
1655695715.79727,167791,18,Terraforming Mars,2016
1655695715.79727,174430,19,Gloomhaven,2017
1655695715.79727,312484,20,Lost Ruins of Arnak,2020
1655695715.79727,237182,21,Root,2018
1655695715.79727,285774,22,Marvel Champions: The Card Game,2019
1655695715.79727,266192,23,Wingspan,2019
1655695715.79727,199792,24,Everdell,2018
1655695715.79727,224517,25,Brass: Birmingham,2018
1655695715.79727,205637,26,Arkham Horror: The Card Game,2016
1655695715.79727,227935,27,Wonderland's War,2022
1655695715.79727,315610,28,Massive Darkness 2: Hellscape,2022
1655695715.79727,323612,29,Bitoku,2021
1655695715.79727,246900,30,Eclipse: Second Dawn for the Galaxy,2020
1655695715.79727,322656,31,burncycle,2022
1655695715.79727,169786,32,Scythe,2016
1655695715.79727,319910,33,Pagan: Fate of Roanoke,2022
1655695715.79727,167355,34,Nemesis,2018
1655695715.79727,363455,35,Keydom's Dragons,2022
1655695715.79727,362944,36,War of the Ring: The Card Game,2022
1655695715.79727,350933,37,The Guild of Merchant Explorers,2022
1655695715.79727,84876,38,The Castles of Burgundy,2011
1655695715.79727,255984,39,Sleeping Gods,2021
1655695715.79727,220308,40,Gaia Project,2017
1655695715.79727,193738,41,Great Western Trail,2016
1655695715.79727,291457,42,Gloomhaven: Jaws of the Lion,2020
1655695715.79727,230802,43,Azul,2017
1655695715.79727,183394,44,Viticulture Essential Edition,2015
1655695715.79727,233078,45,Twilight Imperium: Fourth Edition,2017
1655695715.79727,185343,46,Anachrony,2017
1655695715.79727,177736,47,A Feast for Odin,2016
1655695715.79727,115746,48,War of the Ring: Second Edition,2011
1655695715.79727,359871,49,Arcs,2023
1655695715.79727,244521,50,The Quacks of Quedlinburg,2018
