extracted_at,id,rank,title,year_published
1652152526.115892,340909,1,Gloomholdin',2021
1652152526.115892,342942,2,Ark Nova,2021
1652152526.115892,227935,3,Wonderland's War,2022
1652152526.115892,295785,4,Euthia: Torment of Resurrection,2021
1652152526.115892,359871,5,Arcs,2023
1652152526.115892,295947,6,Cascadia,2021
1652152526.115892,4098,7,Age of Steam,2002
1652152526.115892,12,8,Ra,1999
1652152526.115892,316554,9,Dune: Imperium,2020
1652152526.115892,167791,10,Terraforming Mars,2016
1652152526.115892,237182,11,Root,2018
1652152526.115892,310873,12,Carnegie,2022
1652152526.115892,205637,13,Arkham Horror: The Card Game,2016
1652152526.115892,255984,14,Sleeping Gods,2021
1652152526.115892,162886,15,Spirit Island,2017
1652152526.115892,329082,16,Radlands,2021
1652152526.115892,285774,17,Marvel Champions: The Card Game,2019
1652152526.115892,312484,18,Lost Ruins of Arnak,2020
1652152526.115892,266192,19,Wingspan,2019
1652152526.115892,284121,20,Uprising: Curse of the Last Emperor,2021
1652152526.115892,174430,21,Gloomhaven,2017
1652152526.115892,284189,22,Foundations of Rome,2022
1652152526.115892,199792,23,Everdell,2018
1652152526.115892,224517,24,Brass: Birmingham,2018
1652152526.115892,356033,25,Libertalia: Winds of Galecrest,2022
1652152526.115892,295293,26,The Thing: The Boardgame,2022
1652152526.115892,167355,27,Nemesis,2018
1652152526.115892,258779,28,Planet Unknown,2022
1652152526.115892,256680,29,Return to Dark Tower,2022
1652152526.115892,291457,30,Gloomhaven: Jaws of the Lion,2020
1652152526.115892,169786,31,Scythe,2016
1652152526.115892,291572,32,Oath: Chronicles of Empire and Exile,2021
1652152526.115892,193738,33,Great Western Trail,2016
1652152526.115892,256997,34,Perseverance: Castaway Chronicles – Episodes 1 & 2,2022
1652152526.115892,233078,35,Twilight Imperium: Fourth Edition,2017
1652152526.115892,358320,36,Sleeping Gods: Distant Skies,2023
1652152526.115892,304051,37,Creature Comforts,2022
1652152526.115892,220308,38,Gaia Project,2017
1652152526.115892,328871,39,Terraforming Mars: Ares Expedition,2021
1652152526.115892,230802,40,Azul,2017
1652152526.115892,246900,41,Eclipse: Second Dawn for the Galaxy,2020
1652152526.115892,318184,42,Imperium: Classics,2021
1652152526.115892,84876,43,The Castles of Burgundy,2011
1652152526.115892,115746,44,War of the Ring: Second Edition,2011
1652152526.115892,120677,45,Terra Mystica,2012
1652152526.115892,124361,46,Concordia,2013
1652152526.115892,341169,47,Great Western Trail (Second Edition),2021
1652152526.115892,292375,48,The Great Wall,2021
1652152526.115892,183394,49,Viticulture Essential Edition,2015
1652152526.115892,264220,50,Tainted Grail: The Fall of Avalon,2019
