extracted_at,id,rank,title,year_published
1659412414.88162,342942,1,Ark Nova,2021
1659412414.88162,284587,2,Bloodstones,2023
1659412414.88162,251661,3,Oathsworn: Into the Deepwood,2022
1659412414.88162,364541,4,Knight Fall,2022
1659412414.88162,328866,5,My Father's Work,2022
1659412414.88162,295785,6,Euthia: Torment of Resurrection,2021
1659412414.88162,227935,7,Wonderland's War,2022
1659412414.88162,199792,8,Everdell,2018
1659412414.88162,367498,9,Horizons of Spirit Island,2022
1659412414.88162,316554,10,Dune: Imperium,2020
1659412414.88162,162886,11,Spirit Island,2017
1659412414.88162,274124,12,Northgard: Uncharted Lands,2022
1659412414.88162,295947,13,Cascadia,2021
1659412414.88162,237182,14,Root,2018
1659412414.88162,360471,15,Aquamarine,2022
1659412414.88162,256680,16,Return to Dark Tower,2022
1659412414.88162,273910,17,Stars of Akarios,2022
1659412414.88162,167791,18,Terraforming Mars,2016
1659412414.88162,310873,19,Carnegie,2022
1659412414.88162,266192,20,Wingspan,2019
1659412414.88162,224517,21,Brass: Birmingham,2018
1659412414.88162,205637,22,Arkham Horror: The Card Game,2016
1659412414.88162,285774,23,Marvel Champions: The Card Game,2019
1659412414.88162,174430,24,Gloomhaven,2017
1659412414.88162,312484,25,Lost Ruins of Arnak,2020
1659412414.88162,284189,26,Foundations of Rome,2022
1659412414.88162,367379,27,Deal with the Devil,2022
1659412414.88162,270239,28,Moonrakers,2020
1659412414.88162,167355,29,Nemesis,2018
1659412414.88162,258779,30,Planet Unknown,2022
1659412414.88162,276182,31,Dead Reckoning,2022
1659412414.88162,291457,32,Gloomhaven: Jaws of the Lion,2020
1659412414.88162,269385,33,The Lord of the Rings: Journeys in Middle-Earth,2019
1659412414.88162,169786,34,Scythe,2016
1659412414.88162,345972,35,Cat in the Box: Deluxe Edition,2022
1659412414.88162,350933,36,The Guild of Merchant Explorers,2022
1659412414.88162,328479,37,Living Forest,2021
1659412414.88162,251247,38,Barrage,2019
1659412414.88162,261424,39,Big City: 20th Anniversary Jumbo Edition!,2019
1659412414.88162,244521,40,The Quacks of Quedlinburg,2018
1659412414.88162,255984,41,Sleeping Gods,2021
1659412414.88162,220308,42,Gaia Project,2017
1659412414.88162,246900,43,Eclipse: Second Dawn for the Galaxy,2020
1659412414.88162,365104,44,Planted: A Game of Nature & Nurture,2022
1659412414.88162,367466,45,Dune: Imperium – Immortality,2022
1659412414.88162,328871,46,Terraforming Mars: Ares Expedition,2021
1659412414.88162,115746,47,War of the Ring: Second Edition,2011
1659412414.88162,233078,48,Twilight Imperium: Fourth Edition,2017
1659412414.88162,256960,49,Pax Pamir: Second Edition,2019
1659412414.88162,317985,50,Beyond the Sun,2020
