extracted_at,id,rank,title,year_published
1645499418.082969,350184,1,Earth,2023
1645499418.082969,342942,2,Ark Nova,2021
1645499418.082969,347767,3,Ostia,2022
1645499418.082969,354254,4,Voices In My Head,2022
1645499418.082969,297510,5,"Kingdoms Forlorn: Dragons, Devils and Kings",2024
1645499418.082969,316554,6,Dune: Imperium,2020
1645499418.082969,331787,7,Tiny Epic Dungeons,2021
1645499418.082969,312484,8,Lost Ruins of Arnak,2020
1645499418.082969,317511,9,Tindaya,2022
1645499418.082969,162886,10,Spirit Island,2017
1645499418.082969,167791,11,Terraforming Mars,2016
1645499418.082969,343905,12,Boonlake,2021
1645499418.082969,266192,13,Wingspan,2019
1645499418.082969,328871,14,Terraforming Mars: Ares Expedition,2021
1645499418.082969,199792,15,Everdell,2018
1645499418.082969,205637,16,Arkham Horror: The Card Game,2016
1645499418.082969,285774,17,Marvel Champions: The Card Game,2019
1645499418.082969,174430,18,Gloomhaven,2017
1645499418.082969,284653,19,Mind MGMT: The Psychic Espionage “Game.”,2021
1645499418.082969,237182,20,Root,2018
1645499418.082969,224517,21,Brass: Birmingham,2018
1645499418.082969,295947,22,Cascadia,2021
1645499418.082969,167355,23,Nemesis,2018
1645499418.082969,169786,24,Scythe,2016
1645499418.082969,303954,25,Pax Viking,2021
1645499418.082969,220308,26,Gaia Project,2017
1645499418.082969,291457,27,Gloomhaven: Jaws of the Lion,2020
1645499418.082969,281259,28,The Isle of Cats,2019
1645499418.082969,177736,29,A Feast for Odin,2016
1645499418.082969,255984,30,Sleeping Gods,2021
1645499418.082969,356768,31,Bloc by Bloc: Uprising,2022
1645499418.082969,356033,32,Libertalia: Winds of Galecrest,2022
1645499418.082969,124361,33,Concordia,2013
1645499418.082969,304510,34,Pampero,2022
1645499418.082969,244521,35,The Quacks of Quedlinburg,2018
1645499418.082969,246900,36,Eclipse: Second Dawn for the Galaxy,2020
1645499418.082969,193738,37,Great Western Trail,2016
1645499418.082969,329082,38,Radlands,2021
1645499418.082969,230802,39,Azul,2017
1645499418.082969,290484,40,Unsettled,2021
1645499418.082969,318184,41,Imperium: Classics,2021
1645499418.082969,315610,42,Massive Darkness 2: Hellscape,2022
1645499418.082969,342031,43,Dune: Imperium – Rise of Ix,2022
1645499418.082969,310100,44,Nemesis: Lockdown,2021
1645499418.082969,233078,45,Twilight Imperium: Fourth Edition,2017
1645499418.082969,317985,46,Beyond the Sun,2020
1645499418.082969,291572,47,Oath: Chronicles of Empire and Exile,2021
1645499418.082969,84876,48,The Castles of Burgundy,2011
1645499418.082969,183394,49,Viticulture Essential Edition,2015
1645499418.082969,323612,50,Bitoku,2021
