extracted_at,id,rank,title,year_published
1664078089.916317,325494,1,ISS Vanguard,2022
1664078089.916317,369880,2,Beer & Bread,2022
1664078089.916317,370913,3,Star Wars: The Clone Wars,2022
1664078089.916317,361545,4,Twilight Inscription,2022
1664078089.916317,348450,5,Lacrimosa,2022
1664078089.916317,342942,6,Ark Nova,2021
1664078089.916317,336986,7,Flamecraft,2022
1664078089.916317,251661,8,Oathsworn: Into the Deepwood,2022
1664078089.916317,351913,9,Tiletum,2022
1664078089.916317,334986,10,Daybreak,2023
1664078089.916317,305096,11,Endless Winter: Paleoamericans,2022
1664078089.916317,367150,12,Dune: War for Arrakis,2023
1664078089.916317,174430,13,Gloomhaven,2017
1664078089.916317,366470,14,Space Craft,2022
1664078089.916317,316554,15,Dune: Imperium,2020
1664078089.916317,347374,16,Kingdom Come: Deliverance – The Board Game,2024
1664078089.916317,162886,17,Spirit Island,2017
1664078089.916317,352697,18,Resist!,2022
1664078089.916317,341496,19,Caesar's Empire,2022
1664078089.916317,276086,20,Hamlet: The Village Building Game,2022
1664078089.916317,332772,21,Revive,2022
1664078089.916317,266192,22,Wingspan,2019
1664078089.916317,366456,23,My Shelfie,2022
1664078089.916317,363369,24,Starship Captains,2022
1664078089.916317,167791,25,Terraforming Mars,2016
1664078089.916317,237182,26,Root,2018
1664078089.916317,312484,27,Lost Ruins of Arnak,2020
1664078089.916317,231733,28,Obsession,2018
1664078089.916317,285774,29,Marvel Champions: The Card Game,2019
1664078089.916317,224517,30,Brass: Birmingham,2018
1664078089.916317,369270,31,Astra,2022
1664078089.916317,205637,32,Arkham Horror: The Card Game,2016
1664078089.916317,277700,33,Merchants Cove,2021
1664078089.916317,367525,34,3000 Scoundrels,2022
1664078089.916317,199792,35,Everdell,2018
1664078089.916317,367361,36,Spaceship Unity,2022
1664078089.916317,115746,37,War of the Ring: Second Edition,2011
1664078089.916317,261393,38,Dungeon Universalis,2019
1664078089.916317,360265,39,Sabika,2022
1664078089.916317,301255,40,Whistle Mountain,2020
1664078089.916317,295947,41,Cascadia,2021
1664078089.916317,355093,42,Woodcraft,2022
1664078089.916317,169786,43,Scythe,2016
1664078089.916317,167355,44,Nemesis,2018
1664078089.916317,276182,45,Dead Reckoning,2022
1664078089.916317,227935,46,Wonderland's War,2022
1664078089.916317,364186,47,Terra Nova,2022
1664078089.916317,280794,48,Etherfields,2020
1664078089.916317,310873,49,Carnegie,2022
1664078089.916317,255984,50,Sleeping Gods,2021
