extracted_at,id,rank,title,year_published
1640748281.691761,342942,1,Ark Nova,2021
1640748281.691761,329082,2,Radlands,2021
1640748281.691761,316554,3,Dune: Imperium,2020
1640748281.691761,312484,4,Lost Ruins of Arnak,2020
1640748281.691761,255984,5,Sleeping Gods,2021
1640748281.691761,266192,6,Wingspan,2019
1640748281.691761,295947,7,Cascadia,2021
1640748281.691761,167791,8,Terraforming Mars,2016
1640748281.691761,199792,9,Everdell,2018
1640748281.691761,162886,10,Spirit Island,2017
1640748281.691761,205637,11,Arkham Horror: The Card Game,2016
1640748281.691761,174430,12,Gloomhaven,2017
1640748281.691761,231733,13,Obsession,2018
1640748281.691761,285774,14,Marvel Champions: The Card Game,2019
1640748281.691761,237182,15,Root,2018
1640748281.691761,340325,16,Vagrantsong,2022
1640748281.691761,224517,17,Brass: Birmingham,2018
1640748281.691761,244521,18,The Quacks of Quedlinburg,2018
1640748281.691761,230802,19,Azul,2017
1640748281.691761,169786,20,Scythe,2016
1640748281.691761,220308,21,Gaia Project,2017
1640748281.691761,291457,22,Gloomhaven: Jaws of the Lion,2020
1640748281.691761,167355,23,Nemesis,2018
1640748281.691761,328871,24,Terraforming Mars: Ares Expedition,2021
1640748281.691761,323612,25,Bitoku,2021
1640748281.691761,246900,26,Eclipse: Second Dawn for the Galaxy,2020
1640748281.691761,284083,27,The Crew: The Quest for Planet Nine,2019
1640748281.691761,170771,28,Sword & Sorcery,2017
1640748281.691761,279537,29,The Search for Planet X,2020
1640748281.691761,291572,30,Oath: Chronicles of Empire and Exile,2021
1640748281.691761,266524,31,PARKS,2019
1640748281.691761,256960,32,Pax Pamir: Second Edition,2019
1640748281.691761,285967,33,Ankh: Gods of Egypt,2021
1640748281.691761,173346,34,7 Wonders Duel,2015
1640748281.691761,285192,35,Destinies,2021
1640748281.691761,233078,36,Twilight Imperium: Fourth Edition,2017
1640748281.691761,115746,37,War of the Ring: Second Edition,2012
1640748281.691761,183394,38,Viticulture Essential Edition,2015
1640748281.691761,317985,39,Beyond the Sun,2020
1640748281.691761,193738,40,Great Western Trail,2016
1640748281.691761,340466,41,Unfathomable,2021
1640748281.691761,124361,42,Concordia,2013
1640748281.691761,177736,43,A Feast for Odin,2016
1640748281.691761,263918,44,Cartographers,2019
1640748281.691761,84876,45,The Castles of Burgundy,2011
1640748281.691761,68448,46,7 Wonders,2010
1640748281.691761,276025,47,Maracaibo,2019
1640748281.691761,283155,48,Calico,2020
1640748281.691761,314491,49,Meadow,2021
1640748281.691761,300531,50,Paleo,2020
