extracted_at,id,rank,title,year_published
1644722539.451585,342942,1,Ark Nova,2021
1644722539.451585,280834,2,For Science!,2021
1644722539.451585,279886,3,Iron Forest,
1644722539.451585,284653,4,Mind MGMT: The Psychic Espionage “Game.”,2021
1644722539.451585,356033,5,Libertalia: Winds of Galecrest,2022
1644722539.451585,331787,6,Tiny Epic Dungeons,2021
1644722539.451585,316554,7,Dune: Imperium,2020
1644722539.451585,352179,8,Astro Knights,2022
1644722539.451585,328871,9,Terraforming Mars: Ares Expedition,2021
1644722539.451585,329082,10,Radlands,2021
1644722539.451585,343905,11,Boonlake,2021
1644722539.451585,312484,12,Lost Ruins of Arnak,2020
1644722539.451585,205637,13,Arkham Horror: The Card Game,2016
1644722539.451585,167791,14,Terraforming Mars,2016
1644722539.451585,162886,15,Spirit Island,2017
1644722539.451585,271055,16,Dwellings of Eldervale,2020
1644722539.451585,353411,17,Wreckland Run,2022
1644722539.451585,349051,18,Purple Haze,2023
1644722539.451585,348220,19,Deep Rock Galactic: The Board Game,
1644722539.451585,355326,20,Heroes of Might & Magic III: The Board Game,2022
1644722539.451585,285774,21,Marvel Champions: The Card Game,2019
1644722539.451585,266192,22,Wingspan,2019
1644722539.451585,199792,23,Everdell,2018
1644722539.451585,174430,24,Gloomhaven,2017
1644722539.451585,237182,25,Root,2018
1644722539.451585,342031,26,Dune: Imperium – Rise of Ix,2022
1644722539.451585,177736,27,A Feast for Odin,2016
1644722539.451585,352697,28,Resist!,2022
1644722539.451585,224517,29,Brass: Birmingham,2018
1644722539.451585,167355,30,Nemesis,2018
1644722539.451585,169786,31,Scythe,2016
1644722539.451585,295947,32,Cascadia,2021
1644722539.451585,341945,33,La Granja: Deluxe Master Set,2022
1644722539.451585,12,34,Ra,1999
1644722539.451585,314491,35,Meadow,2021
1644722539.451585,231733,36,Obsession,2018
1644722539.451585,317985,37,Beyond the Sun,2020
1644722539.451585,255984,38,Sleeping Gods,2021
1644722539.451585,291457,39,Gloomhaven: Jaws of the Lion,2020
1644722539.451585,328908,40,The Initiative,2021
1644722539.451585,277700,41,Merchants Cove,2021
1644722539.451585,244521,42,The Quacks of Quedlinburg,2018
1644722539.451585,314745,43,Now or Never,2022
1644722539.451585,220308,44,Gaia Project,2017
1644722539.451585,315610,45,Massive Darkness 2: Hellscape,2022
1644722539.451585,193738,46,Great Western Trail,2016
1644722539.451585,246900,47,Eclipse: Second Dawn for the Galaxy,2020
1644722539.451585,323612,48,Bitoku,2021
1644722539.451585,310100,49,Nemesis: Lockdown,2021
1644722539.451585,341169,50,Great Western Trail (Second Edition),2021
