extracted_at,id,rank,title,year_published
1649042598.018781,342942,1,Ark Nova,2021
1649042598.018781,359999,2,Agricola 15,2022
1649042598.018781,357659,3,Nightmare Cathedral,2023
1649042598.018781,349793,4,Age of Rome,2023
1649042598.018781,322524,5,Bardsung,2022
1649042598.018781,353677,6,Darkest Doom,2023
1649042598.018781,276182,7,Dead Reckoning,2022
1649042598.018781,316554,8,Dune: Imperium,2020
1649042598.018781,295947,9,Cascadia,2021
1649042598.018781,256680,10,Return to Dark Tower,2022
1649042598.018781,167791,11,Terraforming Mars,2016
1649042598.018781,217372,12,The Quest for El Dorado,2017
1649042598.018781,312484,13,Lost Ruins of Arnak,2020
1649042598.018781,162886,14,Spirit Island,2017
1649042598.018781,285774,15,Marvel Champions: The Card Game,2019
1649042598.018781,295374,16,Long Shot: The Dice Game,2022
1649042598.018781,266192,17,Wingspan,2019
1649042598.018781,174430,18,Gloomhaven,2017
1649042598.018781,237182,19,Root,2018
1649042598.018781,205637,20,Arkham Horror: The Card Game,2016
1649042598.018781,351526,21,Encyclopedia,2022
1649042598.018781,224517,22,Brass: Birmingham,2018
1649042598.018781,199792,23,Everdell,2018
1649042598.018781,304051,24,Creature Comforts,2022
1649042598.018781,328871,25,Terraforming Mars: Ares Expedition,2021
1649042598.018781,291457,26,Gloomhaven: Jaws of the Lion,2020
1649042598.018781,169786,27,Scythe,2016
1649042598.018781,255984,28,Sleeping Gods,2021
1649042598.018781,167355,29,Nemesis,2018
1649042598.018781,31260,30,Agricola,2007
1649042598.018781,300217,31,Merchants of the Dark Road,2022
1649042598.018781,264220,32,Tainted Grail: The Fall of Avalon,2019
1649042598.018781,292375,33,The Great Wall,2021
1649042598.018781,331787,34,Tiny Epic Dungeons,2021
1649042598.018781,281259,35,The Isle of Cats,2019
1649042598.018781,291572,36,Oath: Chronicles of Empire and Exile,2021
1649042598.018781,313262,37,Shamans,2021
1649042598.018781,177736,38,A Feast for Odin,2016
1649042598.018781,357872,39,Island Alone,2022
1649042598.018781,220308,40,Gaia Project,2017
1649042598.018781,244521,41,The Quacks of Quedlinburg,2018
1649042598.018781,193738,42,Great Western Trail,2016
1649042598.018781,284121,43,Uprising: Curse of the Last Emperor,2021
1649042598.018781,12,44,Ra,1999
1649042598.018781,230802,45,Azul,2017
1649042598.018781,115746,46,War of the Ring: Second Edition,2011
1649042598.018781,350316,47,Wayfarers of the South Tigris,2022
1649042598.018781,343905,48,Boonlake,2021
1649042598.018781,124361,49,Concordia,2013
1649042598.018781,218603,50,Photosynthesis,2017
