extracted_at,id,rank,title,year_published
1662263745.251857,347305,1,Inventions: Evolution of Ideas,2023
1662263745.251857,342942,2,Ark Nova,2021
1662263745.251857,369270,3,Astra,2022
1662263745.251857,369646,4,Disney Lorcana,2023
1662263745.251857,368854,5,Crossing Oceans,2022
1662263745.251857,291453,6,SCOUT,2019
1662263745.251857,352567,7,Jurassic World: The Legacy of Isla Nublar,2022
1662263745.251857,369282,8,Rise,2022
1662263745.251857,341636,9,RoboMon,2023
1662263745.251857,369751,10,Sagrada: Artisans,2023
1662263745.251857,227935,11,Wonderland's War,2022
1662263745.251857,251661,12,Oathsworn: Into the Deepwood,2022
1662263745.251857,162886,13,Spirit Island,2017
1662263745.251857,199561,14,Sagrada,2017
1662263745.251857,1326,15,MacGregor,1998
1662263745.251857,316554,16,Dune: Imperium,2020
1662263745.251857,328908,17,The Initiative,2021
1662263745.251857,367498,18,Horizons of Spirit Island,2022
1662263745.251857,266064,19,Trudvang Legends,2022
1662263745.251857,348450,20,Lacrimosa,2022
1662263745.251857,167791,21,Terraforming Mars,2016
1662263745.251857,332772,22,Revive,2022
1662263745.251857,224517,23,Brass: Birmingham,2018
1662263745.251857,285774,24,Marvel Champions: The Card Game,2019
1662263745.251857,205637,25,Arkham Horror: The Card Game,2016
1662263745.251857,237182,26,Root,2018
1662263745.251857,174430,27,Gloomhaven,2017
1662263745.251857,312484,28,Lost Ruins of Arnak,2020
1662263745.251857,311725,29,Dice Theme Park,2022
1662263745.251857,266192,30,Wingspan,2019
1662263745.251857,199792,31,Everdell,2018
1662263745.251857,289550,32,Lions of Lydia,2021
1662263745.251857,167355,33,Nemesis,2018
1662263745.251857,115746,34,War of the Ring: Second Edition,2011
1662263745.251857,310873,35,Carnegie,2022
1662263745.251857,231733,36,Obsession,2018
1662263745.251857,364655,37,Kinfire Chronicles: Night's Fall,2023
1662263745.251857,295947,38,Cascadia,2021
1662263745.251857,55690,39,Kingdom Death: Monster,2015
1662263745.251857,169786,40,Scythe,2016
1662263745.251857,362944,41,War of the Ring: The Card Game,2022
1662263745.251857,191879,42,Rival Kings,2016
1662263745.251857,323612,43,Bitoku,2021
1662263745.251857,359970,44,Challengers!,2022
1662263745.251857,329551,45,Mosaic: A Story of Civilization,2022
1662263745.251857,357563,46,Akropolis,2022
1662263745.251857,251247,47,Barrage,2019
1662263745.251857,264220,48,Tainted Grail: The Fall of Avalon,2019
1662263745.251857,291457,49,Gloomhaven: Jaws of the Lion,2020
1662263745.251857,312744,50,Titanic,2020
