extracted_at,id,rank,title,year_published
1660448272.358037,351913,1,Tiletum,2022
1660448272.358037,361545,2,Twilight Inscription,2022
1660448272.358037,342942,3,Ark Nova,2021
1660448272.358037,276182,4,Dead Reckoning,2022
1660448272.358037,356123,5,Turing Machine,2022
1660448272.358037,251661,6,Oathsworn: Into the Deepwood,2022
1660448272.358037,284189,7,Foundations of Rome,2022
1660448272.358037,345972,8,Cat in the Box: Deluxe Edition,2022
1660448272.358037,359402,9,Ahoy,2022
1660448272.358037,357563,10,Akropolis,2022
1660448272.358037,162886,11,Spirit Island,2017
1660448272.358037,224517,12,Brass: Birmingham,2018
1660448272.358037,316554,13,Dune: Imperium,2020
1660448272.358037,295947,14,Cascadia,2021
1660448272.358037,285774,15,Marvel Champions: The Card Game,2019
1660448272.358037,364073,16,Splendor Duel,2022
1660448272.358037,205637,17,Arkham Horror: The Card Game,2016
1660448272.358037,266192,18,Wingspan,2019
1660448272.358037,362944,19,War of the Ring: The Card Game,2022
1660448272.358037,270239,20,Moonrakers,2020
1660448272.358037,305096,21,Endless Winter: Paleoamericans,2022
1660448272.358037,174430,22,Gloomhaven,2017
1660448272.358037,312484,23,Lost Ruins of Arnak,2020
1660448272.358037,237182,24,Root,2018
1660448272.358037,167791,25,Terraforming Mars,2016
1660448272.358037,367518,26,Imperium: Horizons,2023
1660448272.358037,128721,27,Crisis,2016
1660448272.358037,227935,28,Wonderland's War,2022
1660448272.358037,367220,29,Sea Salt & Paper,2022
1660448272.358037,328866,30,My Father's Work,2022
1660448272.358037,199792,31,Everdell,2018
1660448272.358037,169786,32,Scythe,2016
1660448272.358037,310873,33,Carnegie,2022
1660448272.358037,336986,34,Flamecraft,2022
1660448272.358037,233078,35,Twilight Imperium: Fourth Edition,2017
1660448272.358037,255984,36,Sleeping Gods,2021
1660448272.358037,274124,37,Northgard: Uncharted Lands,2022
1660448272.358037,167355,38,Nemesis,2018
1660448272.358037,159675,39,Fields of Arle,2014
1660448272.358037,246900,40,Eclipse: Second Dawn for the Galaxy,2020
1660448272.358037,366795,41,Dead Reckoning: Letters of Marque,2023
1660448272.358037,115746,42,War of the Ring: Second Edition,2011
1660448272.358037,284842,43,"So, You've Been Eaten",2022
1660448272.358037,362121,44,Sunshine City,2022
1660448272.358037,251247,45,Barrage,2019
1660448272.358037,322708,46,Descent: Legends of the Dark,2021
1660448272.358037,340325,47,Vagrantsong,2022
1660448272.358037,291457,48,Gloomhaven: Jaws of the Lion,2020
1660448272.358037,220308,49,Gaia Project,2017
1660448272.358037,329551,50,Mosaic: A Story of Civilization,2022
