extracted_at,id,rank,title,year_published
1633755017.590448,323612,1,Bitoku,2021
1633755017.590448,299106,2,Fractal: Beyond the Void,2022
1633755017.590448,317582,3,Mythwind,2022
1633755017.590448,339958,4,Gutenberg,2021
1633755017.590448,238799,5,Messina 1347,2021
1633755017.590448,337627,6,Voidfall,2023
1633755017.590448,316554,7,Dune: Imperium,2020
1633755017.590448,312484,8,Lost Ruins of Arnak,2020
1633755017.590448,295947,9,Cascadia,2021
1633755017.590448,311193,10,Anno 1800,2020
1633755017.590448,340466,11,Unfathomable,2021
1633755017.590448,205637,12,Arkham Horror: The Card Game,2016
1633755017.590448,285967,13,Ankh: Gods of Egypt,2021
1633755017.590448,298383,14,Golem,2021
1633755017.590448,281549,15,Beast,2022
1633755017.590448,323613,16,LUNA Capital,2021
1633755017.590448,343905,17,Boonlake,2021
1633755017.590448,167791,18,Terraforming Mars,2016
1633755017.590448,285774,19,Marvel Champions: The Card Game,2019
1633755017.590448,322708,20,Descent: Legends of the Dark,2021
1633755017.590448,342942,21,Ark Nova,2021
1633755017.590448,318084,22,Furnace,2021
1633755017.590448,162886,23,Spirit Island,2017
1633755017.590448,286537,24,Burgle Bros 2: The Casino Capers,2021
1633755017.590448,343562,25,Horrified: American Monsters,2021
1633755017.590448,344277,26,Corrosion,2021
1633755017.590448,299659,27,Clash of Cultures: Monumental Edition,2021
1633755017.590448,174430,28,Gloomhaven,2017
1633755017.590448,341254,29,Lost Ruins of Arnak: Expedition Leaders,2021
1633755017.590448,237182,30,Root,2018
1633755017.590448,266192,31,Wingspan,2019
1633755017.590448,227456,32,Escape the Dark Castle,2017
1633755017.590448,305682,33,Rolling Realms,2021
1633755017.590448,317457,34,Dinosaur World,2021
1633755017.590448,199792,35,Everdell,2018
1633755017.590448,224517,36,Brass: Birmingham,2018
1633755017.590448,169786,37,Scythe,2016
1633755017.590448,317985,38,Beyond the Sun,2020
1633755017.590448,325490,39,Concordia Solitaria,2021
1633755017.590448,246900,40,Eclipse: Second Dawn for the Galaxy,2020
1633755017.590448,167355,41,Nemesis,2018
1633755017.590448,341169,42,Great Western Trail (Second Edition),2021
1633755017.590448,291572,43,Oath: Chronicles of Empire and Exile,2021
1633755017.590448,255984,44,Sleeping Gods,2021
1633755017.590448,299684,45,Khôra: Rise of an Empire,2021
1633755017.590448,292375,46,The Great Wall,2021
1633755017.590448,192135,47,Too Many Bones,2017
1633755017.590448,329593,48,Settlement,2021
1633755017.590448,193738,49,Great Western Trail,2016
1633755017.590448,348406,50,Marvel Dice Throne,2022
