extracted_at,id,rank,title,year_published
1635737088.579608,341165,1,Dune: A Game of Conquest and Diplomacy,2021
1635737088.579608,237179,2,Weather Machine,2022
1635737088.579608,316554,3,Dune: Imperium,2020
1635737088.579608,342942,4,Ark Nova,2021
1635737088.579608,312484,5,Lost Ruins of Arnak,2020
1635737088.579608,340865,6,Lords of Ragnarok,2022
1635737088.579608,192135,7,Too Many Bones,2017
1635737088.579608,205637,8,Arkham Horror: The Card Game,2016
1635737088.579608,343905,9,Boonlake,2021
1635737088.579608,342031,10,Dune: Imperium – Rise of Ix,2021
1635737088.579608,340466,11,Unfathomable,2021
1635737088.579608,304420,12,Bonfire,2020
1635737088.579608,283355,13,Dune,2019
1635737088.579608,167791,14,Terraforming Mars,2016
1635737088.579608,298383,15,Golem,2021
1635737088.579608,285774,16,Marvel Champions: The Card Game,2019
1635737088.579608,323612,17,Bitoku,2021
1635737088.579608,162886,18,Spirit Island,2017
1635737088.579608,174430,19,Gloomhaven,2017
1635737088.579608,285967,20,Ankh: Gods of Egypt,2021
1635737088.579608,266192,21,Wingspan,2019
1635737088.579608,348934,22,Monsterpocalypse Board Game,2022
1635737088.579608,224517,23,Brass: Birmingham,2018
1635737088.579608,199792,24,Everdell,2018
1635737088.579608,295947,25,Cascadia,2021
1635737088.579608,167355,26,Nemesis,2018
1635737088.579608,237182,27,Root,2018
1635737088.579608,299659,28,Clash of Cultures: Monumental Edition,2021
1635737088.579608,169786,29,Scythe,2016
1635737088.579608,341169,30,Great Western Trail (Second Edition),2021
1635737088.579608,317457,31,Dinosaur World,2021
1635737088.579608,311193,32,Anno 1800,2020
1635737088.579608,230802,33,Azul,2017
1635737088.579608,282524,34,Horrified,2019
1635737088.579608,246900,35,Eclipse: Second Dawn for the Galaxy,2020
1635737088.579608,291457,36,Gloomhaven: Jaws of the Lion,2020
1635737088.579608,238799,37,Messina 1347,2021
1635737088.579608,193738,38,Great Western Trail,2016
1635737088.579608,270314,39,Ohanami,2019
1635737088.579608,121,40,Dune,1979
1635737088.579608,220308,41,Gaia Project,2017
1635737088.579608,255984,42,Sleeping Gods,2021
1635737088.579608,284083,43,The Crew: The Quest for Planet Nine,2019
1635737088.579608,233078,44,Twilight Imperium: Fourth Edition,2017
1635737088.579608,318084,45,Furnace,2021
1635737088.579608,177736,46,A Feast for Odin,2016
1635737088.579608,329082,47,Radlands,2021
1635737088.579608,290484,48,Unsettled,2021
1635737088.579608,329713,49,Dune: House Secrets,2021
1635737088.579608,346703,50,7 Wonders: Architects,2021
