extracted_at,id,rank,title,year_published
1641180340.956558,342942,1,Ark Nova,2021
1641180340.956558,312484,2,Lost Ruins of Arnak,2020
1641180340.956558,312859,3,Townsfolk Tussle,2022
1641180340.956558,316554,4,Dune: Imperium,2020
1641180340.956558,255984,5,Sleeping Gods,2021
1641180340.956558,266192,6,Wingspan,2019
1641180340.956558,329082,7,Radlands,2021
1641180340.956558,295947,8,Cascadia,2021
1641180340.956558,162886,9,Spirit Island,2017
1641180340.956558,167791,10,Terraforming Mars,2016
1641180340.956558,231733,11,Obsession,2018
1641180340.956558,199792,12,Everdell,2018
1641180340.956558,205637,13,Arkham Horror: The Card Game,2016
1641180340.956558,285774,14,Marvel Champions: The Card Game,2019
1641180340.956558,174430,15,Gloomhaven,2017
1641180340.956558,292375,16,The Great Wall,2021
1641180340.956558,237182,17,Root,2018
1641180340.956558,224517,18,Brass: Birmingham,2018
1641180340.956558,328871,19,Terraforming Mars: Ares Expedition,2021
1641180340.956558,167355,20,Nemesis,2018
1641180340.956558,317985,21,Beyond the Sun,2020
1641180340.956558,291457,22,Gloomhaven: Jaws of the Lion,2020
1641180340.956558,230802,23,Azul,2017
1641180340.956558,169786,24,Scythe,2016
1641180340.956558,244521,25,The Quacks of Quedlinburg,2018
1641180340.956558,220308,26,Gaia Project,2017
1641180340.956558,285967,27,Ankh: Gods of Egypt,2021
1641180340.956558,284083,28,The Crew: The Quest for Planet Nine,2019
1641180340.956558,284653,29,Mind MGMT: The Psychic Espionage “Game.”,2021
1641180340.956558,263918,30,Cartographers,2019
1641180340.956558,173346,31,7 Wonders Duel,2015
1641180340.956558,285192,32,Destinies,2021
1641180340.956558,23540,33,Shikoku 1889,2004
1641180340.956558,193738,34,Great Western Trail,2016
1641180340.956558,246900,35,Eclipse: Second Dawn for the Galaxy,2020
1641180340.956558,256960,36,Pax Pamir: Second Edition,2019
1641180340.956558,266524,37,PARKS,2019
1641180340.956558,115746,38,War of the Ring: Second Edition,2012
1641180340.956558,323612,39,Bitoku,2021
1641180340.956558,233078,40,Twilight Imperium: Fourth Edition,2017
1641180340.956558,291572,41,Oath: Chronicles of Empire and Exile,2021
1641180340.956558,183394,42,Viticulture Essential Edition,2015
1641180340.956558,68448,43,7 Wonders,2010
1641180340.956558,310100,44,Nemesis: Lockdown,2021
1641180340.956558,177736,45,A Feast for Odin,2016
1641180340.956558,84876,46,The Castles of Burgundy,2011
1641180340.956558,304783,47,Hadrian's Wall,2021
1641180340.956558,822,48,Carcassonne,2000
1641180340.956558,340466,49,Unfathomable,2021
1641180340.956558,279537,50,The Search for Planet X,2020
