extracted_at,id,rank,title,year_published
1637551383.927992,699,1,HeroQuest,1989
1637551383.927992,316554,2,Dune: Imperium,2020
1637551383.927992,322589,3,Zapotec,2022
1637551383.927992,337765,4,Brian Boru: High King of Ireland,2021
1637551383.927992,331106,5,The Witcher: Old World,2022
1637551383.927992,318084,6,Furnace,2021
1637551383.927992,312484,7,Lost Ruins of Arnak,2020
1637551383.927992,162886,8,Spirit Island,2017
1637551383.927992,295947,9,Cascadia,2021
1637551383.927992,205637,10,Arkham Horror: The Card Game,2016
1637551383.927992,167791,11,Terraforming Mars,2016
1637551383.927992,340466,12,Unfathomable,2021
1637551383.927992,343905,13,Boonlake,2021
1637551383.927992,266192,14,Wingspan,2019
1637551383.927992,199792,15,Everdell,2018
1637551383.927992,285774,16,Marvel Champions: The Card Game,2019
1637551383.927992,174430,17,Gloomhaven,2017
1637551383.927992,220308,18,Gaia Project,2017
1637551383.927992,224517,19,Brass: Birmingham,2018
1637551383.927992,237179,20,Weather Machine,2022
1637551383.927992,237182,21,Root,2018
1637551383.927992,255984,22,Sleeping Gods,2021
1637551383.927992,120677,23,Terra Mystica,2012
1637551383.927992,299659,24,Clash of Cultures: Monumental Edition,2021
1637551383.927992,246900,25,Eclipse: Second Dawn for the Galaxy,2020
1637551383.927992,167355,26,Nemesis,2018
1637551383.927992,169786,27,Scythe,2016
1637551383.927992,342942,28,Ark Nova,2021
1637551383.927992,231733,29,Obsession,2018
1637551383.927992,342031,30,Dune: Imperium – Rise of Ix,2021
1637551383.927992,321608,31,Hegemony: Lead Your Class to Victory,2022
1637551383.927992,193738,32,Great Western Trail,2016
1637551383.927992,291457,33,Gloomhaven: Jaws of the Lion,2020
1637551383.927992,285967,34,Ankh: Gods of Egypt,2021
1637551383.927992,317985,35,Beyond the Sun,2020
1637551383.927992,311193,36,Anno 1800,2020
1637551383.927992,254708,37,Roll Player Adventures,2021
1637551383.927992,286096,38,Tapestry,2019
1637551383.927992,284083,39,The Crew: The Quest for Planet Nine,2019
1637551383.927992,233078,40,Twilight Imperium: Fourth Edition,2017
1637551383.927992,227224,41,The Red Cathedral,2020
1637551383.927992,175914,42,Food Chain Magnate,2015
1637551383.927992,256960,43,Pax Pamir: Second Edition,2019
1637551383.927992,328871,44,Terraforming Mars: Ares Expedition,2021
1637551383.927992,230802,45,Azul,2017
1637551383.927992,340237,46,Wonder Book,2021
1637551383.927992,244521,47,The Quacks of Quedlinburg,2018
1637551383.927992,341169,48,Great Western Trail (Second Edition),2021
1637551383.927992,291572,49,Oath: Chronicles of Empire and Exile,2021
1637551383.927992,177736,50,A Feast for Odin,2016
