extracted_at,id,rank,title,year_published
1643340141.434872,342942,1,Ark Nova,2021
1643340141.434872,341945,2,La Granja: Deluxe Master Set,2022
1643340141.434872,349067,3,The Lord of the Rings: The Card Game – Revised Core Set,2022
1643340141.434872,146886,4,La Granja,2014
1643340141.434872,277659,5,Final Girl,2021
1643340141.434872,349051,6,Purple Haze,2023
1643340141.434872,316554,7,Dune: Imperium,2020
1643340141.434872,312484,8,Lost Ruins of Arnak,2020
1643340141.434872,344332,9,Total War: ROME – The Board Game,2022
1643340141.434872,295947,10,Cascadia,2021
1643340141.434872,162886,11,Spirit Island,2017
1643340141.434872,177478,12,IKI,2015
1643340141.434872,323612,13,Bitoku,2021
1643340141.434872,285774,14,Marvel Champions: The Card Game,2019
1643340141.434872,205637,15,Arkham Horror: The Card Game,2016
1643340141.434872,167791,16,Terraforming Mars,2016
1643340141.434872,351817,17,Marvel Zombies: A Zombicide Game,2022
1643340141.434872,329082,18,Radlands,2021
1643340141.434872,255984,19,Sleeping Gods,2021
1643340141.434872,224517,20,Brass: Birmingham,2018
1643340141.434872,199792,21,Everdell,2018
1643340141.434872,237182,22,Root,2018
1643340141.434872,174430,23,Gloomhaven,2017
1643340141.434872,266192,24,Wingspan,2019
1643340141.434872,328871,25,Terraforming Mars: Ares Expedition,2021
1643340141.434872,343905,26,Boonlake,2021
1643340141.434872,262712,27,Res Arcana,2019
1643340141.434872,300217,28,Merchants of the Dark Road,2022
1643340141.434872,342070,29,Thunder Road: Vendetta,2022
1643340141.434872,256159,30,Guardians,2018
1643340141.434872,340677,31,Bad Company,2021
1643340141.434872,169786,32,Scythe,2016
1643340141.434872,299659,33,Clash of Cultures: Monumental Edition,2021
1643340141.434872,77423,34,The Lord of the Rings: The Card Game,2011
1643340141.434872,284653,35,Mind MGMT: The Psychic Espionage “Game.”,2021
1643340141.434872,167355,36,Nemesis,2018
1643340141.434872,220308,37,Gaia Project,2017
1643340141.434872,170216,38,Blood Rage,2015
1643340141.434872,177736,39,A Feast for Odin,2016
1643340141.434872,291457,40,Gloomhaven: Jaws of the Lion,2020
1643340141.434872,246900,41,Eclipse: Second Dawn for the Galaxy,2020
1643340141.434872,291572,42,Oath: Chronicles of Empire and Exile,2021
1643340141.434872,231733,43,Obsession,2018
1643340141.434872,193738,44,Great Western Trail,2016
1643340141.434872,346703,45,7 Wonders: Architects,2021
1643340141.434872,354570,46,Undaunted: Stalingrad,2022
1643340141.434872,157354,47,Five Tribes,2014
1643340141.434872,290484,48,Unsettled,2021
1643340141.434872,256960,49,Pax Pamir: Second Edition,2019
1643340141.434872,244521,50,The Quacks of Quedlinburg,2018
