extracted_at,id,rank,title,year_published
1651463191.867822,342942,1,Ark Nova,2021
1651463191.867822,352695,2,Oranienburger Kanal,2022
1651463191.867822,352263,3,Through Ice and Snow,2022
1651463191.867822,227935,4,Wonderland's War,2022
1651463191.867822,258779,5,Planet Unknown,2022
1651463191.867822,292375,6,The Great Wall,2021
1651463191.867822,344105,7,Anunnaki: Dawn of the Gods,2022
1651463191.867822,350316,8,Wayfarers of the South Tigris,2022
1651463191.867822,295785,9,Euthia: Torment of Resurrection,2021
1651463191.867822,316554,10,Dune: Imperium,2020
1651463191.867822,343274,11,Cryptid: Urban Legends,2022
1651463191.867822,295293,12,The Thing: The Boardgame,2022
1651463191.867822,284121,13,Uprising: Curse of the Last Emperor,2021
1651463191.867822,284189,14,Foundations of Rome,2022
1651463191.867822,237182,15,Root,2018
1651463191.867822,310873,16,Carnegie,2022
1651463191.867822,162886,17,Spirit Island,2017
1651463191.867822,295947,18,Cascadia,2021
1651463191.867822,255984,19,Sleeping Gods,2021
1651463191.867822,167791,20,Terraforming Mars,2016
1651463191.867822,312484,21,Lost Ruins of Arnak,2020
1651463191.867822,174430,22,Gloomhaven,2017
1651463191.867822,285774,23,Marvel Champions: The Card Game,2019
1651463191.867822,163068,24,Trickerion: Legends of Illusion,2015
1651463191.867822,266192,25,Wingspan,2019
1651463191.867822,205637,26,Arkham Horror: The Card Game,2016
1651463191.867822,358320,27,Sleeping Gods: Distant Skies,2023
1651463191.867822,199792,28,Everdell,2018
1651463191.867822,12,29,Ra,1999
1651463191.867822,224517,30,Brass: Birmingham,2018
1651463191.867822,256997,31,Perseverance: Castaway Chronicles – Episodes 1 & 2,2022
1651463191.867822,167355,32,Nemesis,2018
1651463191.867822,304051,33,Creature Comforts,2022
1651463191.867822,356033,34,Libertalia: Winds of Galecrest,2022
1651463191.867822,328871,35,Terraforming Mars: Ares Expedition,2021
1651463191.867822,169786,36,Scythe,2016
1651463191.867822,351817,37,Marvel Zombies: A Zombicide Game,2023
1651463191.867822,256680,38,Return to Dark Tower,2022
1651463191.867822,291457,39,Gloomhaven: Jaws of the Lion,2020
1651463191.867822,233078,40,Twilight Imperium: Fourth Edition,2017
1651463191.867822,115746,41,War of the Ring: Second Edition,2011
1651463191.867822,359871,42,Arcs,2023
1651463191.867822,285967,43,Ankh: Gods of Egypt,2021
1651463191.867822,183394,44,Viticulture Essential Edition,2015
1651463191.867822,291572,45,Oath: Chronicles of Empire and Exile,2021
1651463191.867822,322524,46,Bardsung,2022
1651463191.867822,193738,47,Great Western Trail,2016
1651463191.867822,336382,48,Marvel United: X-Men,2021
1651463191.867822,251247,49,Barrage,2019
1651463191.867822,323612,50,Bitoku,2021
