extracted_at,id,rank,title,year_published
1661140106.11743,368966,1,Ark Nova: Aquarius,2023
1661140106.11743,342942,2,Ark Nova,2021
1661140106.11743,351913,3,Tiletum,2022
1661140106.11743,251661,4,Oathsworn: Into the Deepwood,2022
1661140106.11743,355093,5,Woodcraft,2022
1661140106.11743,350689,6,Wormholes,2022
1661140106.11743,162886,7,Spirit Island,2017
1661140106.11743,345972,8,Cat in the Box: Deluxe Edition,2022
1661140106.11743,316554,9,Dune: Imperium,2020
1661140106.11743,284189,10,Foundations of Rome,2022
1661140106.11743,276182,11,Dead Reckoning,2022
1661140106.11743,224517,12,Brass: Birmingham,2018
1661140106.11743,167791,13,Terraforming Mars,2016
1661140106.11743,361545,14,Twilight Inscription,2022
1661140106.11743,360265,15,Sabika,2022
1661140106.11743,266192,16,Wingspan,2019
1661140106.11743,359402,17,Ahoy,2022
1661140106.11743,285774,18,Marvel Champions: The Card Game,2019
1661140106.11743,174430,19,Gloomhaven,2017
1661140106.11743,199792,20,Everdell,2018
1661140106.11743,205637,21,Arkham Horror: The Card Game,2016
1661140106.11743,237182,22,Root,2018
1661140106.11743,312484,23,Lost Ruins of Arnak,2020
1661140106.11743,295947,24,Cascadia,2021
1661140106.11743,227935,25,Wonderland's War,2022
1661140106.11743,169786,26,Scythe,2016
1661140106.11743,251247,27,Barrage,2019
1661140106.11743,255984,28,Sleeping Gods,2021
1661140106.11743,167355,29,Nemesis,2018
1661140106.11743,231733,30,Obsession,2018
1661140106.11743,310873,31,Carnegie,2022
1661140106.11743,280794,32,Etherfields,2020
1661140106.11743,115746,33,War of the Ring: Second Edition,2011
1661140106.11743,360951,34,Catherine: The Cities of the Tsarina,2022
1661140106.11743,328866,35,My Father's Work,2022
1661140106.11743,273910,36,Stars of Akarios,2022
1661140106.11743,246900,37,Eclipse: Second Dawn for the Galaxy,2020
1661140106.11743,291457,38,Gloomhaven: Jaws of the Lion,2020
1661140106.11743,233078,39,Twilight Imperium: Fourth Edition,2017
1661140106.11743,170216,40,Blood Rage,2015
1661140106.11743,291572,41,Oath: Chronicles of Empire and Exile,2021
1661140106.11743,220308,42,Gaia Project,2017
1661140106.11743,317985,43,Beyond the Sun,2020
1661140106.11743,193738,44,Great Western Trail,2016
1661140106.11743,305096,45,Endless Winter: Paleoamericans,2022
1661140106.11743,244521,46,The Quacks of Quedlinburg,2018
1661140106.11743,230802,47,Azul,2017
1661140106.11743,342894,48,Mythic Mischief,2022
1661140106.11743,352454,49,Trailblazers,2023
1661140106.11743,124361,50,Concordia,2013
