extracted_at,id,rank,title,year_published
1651893740.748675,340909,1,Gloomholdin',2021
1651893740.748675,342942,2,Ark Nova,2021
1651893740.748675,295785,3,Euthia: Torment of Resurrection,2021
1651893740.748675,12,4,Ra,1999
1651893740.748675,329082,5,Radlands,2021
1651893740.748675,359871,6,Arcs,2023
1651893740.748675,310873,7,Carnegie,2022
1651893740.748675,292375,8,The Great Wall,2021
1651893740.748675,227935,9,Wonderland's War,2022
1651893740.748675,258779,10,Planet Unknown,2022
1651893740.748675,4098,11,Age of Steam,2002
1651893740.748675,295947,12,Cascadia,2021
1651893740.748675,316554,13,Dune: Imperium,2020
1651893740.748675,255984,14,Sleeping Gods,2021
1651893740.748675,291572,15,Oath: Chronicles of Empire and Exile,2021
1651893740.748675,167791,16,Terraforming Mars,2016
1651893740.748675,237182,17,Root,2018
1651893740.748675,162886,18,Spirit Island,2017
1651893740.748675,205637,19,Arkham Horror: The Card Game,2016
1651893740.748675,312484,20,Lost Ruins of Arnak,2020
1651893740.748675,174430,21,Gloomhaven,2017
1651893740.748675,285774,22,Marvel Champions: The Card Game,2019
1651893740.748675,356033,23,Libertalia: Winds of Galecrest,2022
1651893740.748675,352263,24,Through Ice and Snow,2022
1651893740.748675,266192,25,Wingspan,2019
1651893740.748675,256997,26,Perseverance: Castaway Chronicles – Episodes 1 & 2,2022
1651893740.748675,284121,27,Uprising: Curse of the Last Emperor,2021
1651893740.748675,224517,28,Brass: Birmingham,2018
1651893740.748675,277659,29,Final Girl,2021
1651893740.748675,295293,30,The Thing: The Boardgame,2022
1651893740.748675,167355,31,Nemesis,2018
1651893740.748675,318184,32,Imperium: Classics,2021
1651893740.748675,169786,33,Scythe,2016
1651893740.748675,256680,34,Return to Dark Tower,2022
1651893740.748675,199792,35,Everdell,2018
1651893740.748675,193738,36,Great Western Trail,2016
1651893740.748675,351817,37,Marvel Zombies: A Zombicide Game,2023
1651893740.748675,341169,38,Great Western Trail (Second Edition),2021
1651893740.748675,291457,39,Gloomhaven: Jaws of the Lion,2020
1651893740.748675,328871,40,Terraforming Mars: Ares Expedition,2021
1651893740.748675,358320,41,Sleeping Gods: Distant Skies,2023
1651893740.748675,322524,42,Bardsung,2022
1651893740.748675,115746,43,War of the Ring: Second Edition,2011
1651893740.748675,284189,44,Foundations of Rome,2022
1651893740.748675,304051,45,Creature Comforts,2022
1651893740.748675,84876,46,The Castles of Burgundy,2011
1651893740.748675,298383,47,Golem,2021
1651893740.748675,352695,48,Oranienburger Kanal,2022
1651893740.748675,233078,49,Twilight Imperium: Fourth Edition,2017
1651893740.748675,246900,50,Eclipse: Second Dawn for the Galaxy,2020
