extracted_at,id,rank,title,year_published
1645068247.390178,342942,1,Ark Nova,2021
1645068247.390178,331787,2,Tiny Epic Dungeons,2021
1645068247.390178,356033,3,Libertalia: Winds of Galecrest,2022
1645068247.390178,328871,4,Terraforming Mars: Ares Expedition,2021
1645068247.390178,297510,5,"Kingdoms Forlorn: Dragons, Devils and Kings",2024
1645068247.390178,331820,6,Rolling Heights,2023
1645068247.390178,316554,7,Dune: Imperium,2020
1645068247.390178,280834,8,For Science!,2021
1645068247.390178,284653,9,Mind MGMT: The Psychic Espionage “Game.”,2021
1645068247.390178,343905,10,Boonlake,2021
1645068247.390178,312484,11,Lost Ruins of Arnak,2020
1645068247.390178,162886,12,Spirit Island,2017
1645068247.390178,205637,13,Arkham Horror: The Card Game,2016
1645068247.390178,167791,14,Terraforming Mars,2016
1645068247.390178,350184,15,Earth,2023
1645068247.390178,279886,16,Iron Forest,2023
1645068247.390178,317511,17,Tindaya,2022
1645068247.390178,266192,18,Wingspan,2019
1645068247.390178,285774,19,Marvel Champions: The Card Game,2019
1645068247.390178,329082,20,Radlands,2021
1645068247.390178,199792,21,Everdell,2018
1645068247.390178,356768,22,Bloc by Bloc: Uprising,2022
1645068247.390178,295947,23,Cascadia,2021
1645068247.390178,174430,24,Gloomhaven,2017
1645068247.390178,237182,25,Root,2018
1645068247.390178,169786,26,Scythe,2016
1645068247.390178,323156,27,Stroganov,2021
1645068247.390178,318184,28,Imperium: Classics,2021
1645068247.390178,342031,29,Dune: Imperium – Rise of Ix,2022
1645068247.390178,255984,30,Sleeping Gods,2021
1645068247.390178,190247,31,Bloc by Bloc: The Insurrection Game,2016
1645068247.390178,224517,32,Brass: Birmingham,2018
1645068247.390178,167355,33,Nemesis,2018
1645068247.390178,177736,34,A Feast for Odin,2016
1645068247.390178,291457,35,Gloomhaven: Jaws of the Lion,2020
1645068247.390178,347767,36,Ostia,2022
1645068247.390178,220308,37,Gaia Project,2017
1645068247.390178,231733,38,Obsession,2018
1645068247.390178,246900,39,Eclipse: Second Dawn for the Galaxy,2020
1645068247.390178,233078,40,Twilight Imperium: Fourth Edition,2017
1645068247.390178,193738,41,Great Western Trail,2016
1645068247.390178,244521,42,The Quacks of Quedlinburg,2018
1645068247.390178,323612,43,Bitoku,2021
1645068247.390178,115746,44,War of the Ring: Second Edition,2012
1645068247.390178,271055,45,Dwellings of Eldervale,2020
1645068247.390178,317985,46,Beyond the Sun,2020
1645068247.390178,310100,47,Nemesis: Lockdown,2021
1645068247.390178,84876,48,The Castles of Burgundy,2011
1645068247.390178,125618,49,Libertalia,2012
1645068247.390178,183394,50,Viticulture Essential Edition,2015
