extracted_at,id,rank,title,year_published
1636082661.090802,350316,1,Wayfarers of the South Tigris,2022
1636082661.090802,290484,2,Unsettled,2021
1636082661.090802,342372,3,The Elder Scrolls V: Skyrim – The Adventure Game,2022
1636082661.090802,341165,4,Dune: A Game of Conquest and Diplomacy,2021
1636082661.090802,316554,5,Dune: Imperium,2020
1636082661.090802,237179,6,Weather Machine,2022
1636082661.090802,312484,7,Lost Ruins of Arnak,2020
1636082661.090802,343905,8,Boonlake,2021
1636082661.090802,342942,9,Ark Nova,2021
1636082661.090802,192135,10,Too Many Bones,2017
1636082661.090802,311193,11,Anno 1800,2020
1636082661.090802,205637,12,Arkham Horror: The Card Game,2016
1636082661.090802,349998,13,Tapestry: Arts & Architecture,2022
1636082661.090802,340466,14,Unfathomable,2021
1636082661.090802,167791,15,Terraforming Mars,2016
1636082661.090802,162886,16,Spirit Island,2017
1636082661.090802,174430,17,Gloomhaven,2017
1636082661.090802,318084,18,Furnace,2021
1636082661.090802,285774,19,Marvel Champions: The Card Game,2019
1636082661.090802,286096,20,Tapestry,2019
1636082661.090802,348934,21,Monsterpocalypse Board Game,2022
1636082661.090802,237182,22,Root,2018
1636082661.090802,285967,23,Ankh: Gods of Egypt,2021
1636082661.090802,332290,24,Stardew Valley: The Board Game,2021
1636082661.090802,224517,25,Brass: Birmingham,2018
1636082661.090802,342031,26,Dune: Imperium – Rise of Ix,2021
1636082661.090802,167355,27,Nemesis,2018
1636082661.090802,323612,28,Bitoku,2021
1636082661.090802,263895,29,City of the Great Machine,2022
1636082661.090802,266192,30,Wingspan,2019
1636082661.090802,326494,31,The Adventures of Robin Hood,2021
1636082661.090802,177478,32,IKI,2015
1636082661.090802,295947,33,Cascadia,2021
1636082661.090802,299659,34,Clash of Cultures: Monumental Edition,2021
1636082661.090802,199792,35,Everdell,2018
1636082661.090802,283355,36,Dune,2019
1636082661.090802,169786,37,Scythe,2016
1636082661.090802,238799,38,Messina 1347,2021
1636082661.090802,341169,39,Great Western Trail (Second Edition),2021
1636082661.090802,255984,40,Sleeping Gods,2021
1636082661.090802,246900,41,Eclipse: Second Dawn for the Galaxy,2020
1636082661.090802,291457,42,Gloomhaven: Jaws of the Lion,2020
1636082661.090802,220308,43,Gaia Project,2017
1636082661.090802,298383,44,Golem,2021
1636082661.090802,346703,45,7 Wonders: Architects,2021
1636082661.090802,55690,46,Kingdom Death: Monster,2015
1636082661.090802,193738,47,Great Western Trail,2016
1636082661.090802,317457,48,Dinosaur World,2021
1636082661.090802,341048,49,Free Ride,2021
1636082661.090802,233078,50,Twilight Imperium: Fourth Edition,2017
