extracted_at,id,rank,title,year_published
1657510721.015825,362986,1,Tribes of the Wind,2022
1657510721.015825,359402,2,Ahoy,2022
1657510721.015825,342942,3,Ark Nova,2021
1657510721.015825,332772,4,Revive,2022
1657510721.015825,251661,5,Oathsworn: Into the Deepwood,2022
1657510721.015825,273910,6,Stars of Akarios,2022
1657510721.015825,162886,7,Spirit Island,2017
1657510721.015825,316554,8,Dune: Imperium,2020
1657510721.015825,310873,9,Carnegie,2022
1657510721.015825,354568,10,Amun-Re: 20th Anniversary Edition,2023
1657510721.015825,350689,11,Wormholes,2022
1657510721.015825,285774,12,Marvel Champions: The Card Game,2019
1657510721.015825,356414,13,Space Station Phoenix,2022
1657510721.015825,205637,14,Arkham Horror: The Card Game,2016
1657510721.015825,350933,15,The Guild of Merchant Explorers,2022
1657510721.015825,363481,16,Fancy Feathers,2022
1657510721.015825,295947,17,Cascadia,2021
1657510721.015825,357563,18,Akropolis,2022
1657510721.015825,167791,19,Terraforming Mars,2016
1657510721.015825,357271,20,San Francisco,2022
1657510721.015825,266192,21,Wingspan,2019
1657510721.015825,312484,22,Lost Ruins of Arnak,2020
1657510721.015825,237182,23,Root,2018
1657510721.015825,224517,24,Brass: Birmingham,2018
1657510721.015825,328866,25,My Father's Work,2022
1657510721.015825,328871,26,Terraforming Mars: Ares Expedition,2021
1657510721.015825,365717,27,Clank! Catacombs,2022
1657510721.015825,366013,28,Heat: Pedal to the Metal,2022
1657510721.015825,199792,29,Everdell,2018
1657510721.015825,174430,30,Gloomhaven,2017
1657510721.015825,358085,31,Village Rails,2022
1657510721.015825,350458,32,Terracotta Army,2022
1657510721.015825,338760,33,Imperial Steam,2021
1657510721.015825,240980,34,Blood on the Clocktower,2022
1657510721.015825,169786,35,Scythe,2016
1657510721.015825,167355,36,Nemesis,2018
1657510721.015825,329465,37,Red Rising,2021
1657510721.015825,246900,38,Eclipse: Second Dawn for the Galaxy,2020
1657510721.015825,227935,39,Wonderland's War,2022
1657510721.015825,192135,40,Too Many Bones,2017
1657510721.015825,255984,41,Sleeping Gods,2021
1657510721.015825,291457,42,Gloomhaven: Jaws of the Lion,2020
1657510721.015825,233078,43,Twilight Imperium: Fourth Edition,2017
1657510721.015825,256680,44,Return to Dark Tower,2022
1657510721.015825,220308,45,Gaia Project,2017
1657510721.015825,193738,46,Great Western Trail,2016
1657510721.015825,244521,47,The Quacks of Quedlinburg,2018
1657510721.015825,348450,48,Lacrimosa,2022
1657510721.015825,230802,49,Azul,2017
1657510721.015825,84876,50,The Castles of Burgundy,2011
