extracted_at,id,rank,title,year_published
1655178118.145185,362944,1,War of the Ring: The Card Game,2022
1655178118.145185,347102,2,Star Wars: Outer Rim – Unfinished Business,2022
1655178118.145185,342942,3,Ark Nova,2021
1655178118.145185,363622,4,Castles of Burgundy: Special Edition,2023
1655178118.145185,356414,5,Space Station Phoenix,2022
1655178118.145185,271896,6,Star Wars: Outer Rim,2019
1655178118.145185,328866,7,My Father's Work,2022
1655178118.145185,359871,8,Arcs,2023
1655178118.145185,310873,9,Carnegie,2022
1655178118.145185,316554,10,Dune: Imperium,2020
1655178118.145185,162886,11,Spirit Island,2017
1655178118.145185,227935,12,Wonderland's War,2022
1655178118.145185,312484,13,Lost Ruins of Arnak,2020
1655178118.145185,364186,14,Terra Nova,2022
1655178118.145185,84876,15,The Castles of Burgundy,2011
1655178118.145185,360692,16,Septima,2023
1655178118.145185,266192,17,Wingspan,2019
1655178118.145185,237182,18,Root,2018
1655178118.145185,167791,19,Terraforming Mars,2016
1655178118.145185,205637,20,Arkham Horror: The Card Game,2016
1655178118.145185,199792,21,Everdell,2018
1655178118.145185,285774,22,Marvel Champions: The Card Game,2019
1655178118.145185,174430,23,Gloomhaven,2017
1655178118.145185,295947,24,Cascadia,2021
1655178118.145185,319910,25,Pagan: Fate of Roanoke,2022
1655178118.145185,224517,26,Brass: Birmingham,2018
1655178118.145185,270956,27,The Court of Miracles,2019
1655178118.145185,322656,28,burncycle,2022
1655178118.145185,235555,29,Bios: Origins (Second Edition),2019
1655178118.145185,167355,30,Nemesis,2018
1655178118.145185,169786,31,Scythe,2016
1655178118.145185,255984,32,Sleeping Gods,2021
1655178118.145185,246900,33,Eclipse: Second Dawn for the Galaxy,2020
1655178118.145185,291457,34,Gloomhaven: Jaws of the Lion,2020
1655178118.145185,230802,35,Azul,2017
1655178118.145185,288080,36,Dice Realms,2022
1655178118.145185,183394,37,Viticulture Essential Edition,2015
1655178118.145185,193738,38,Great Western Trail,2016
1655178118.145185,115746,39,War of the Ring: Second Edition,2011
1655178118.145185,285967,40,Ankh: Gods of Egypt,2021
1655178118.145185,298231,41,Skyrise,2022
1655178118.145185,256680,42,Return to Dark Tower,2022
1655178118.145185,220308,43,Gaia Project,2017
1655178118.145185,362452,44,Atiwa,2022
1655178118.145185,244521,45,The Quacks of Quedlinburg,2018
1655178118.145185,233078,46,Twilight Imperium: Fourth Edition,2017
1655178118.145185,124361,47,Concordia,2013
1655178118.145185,339958,48,Gutenberg,2021
1655178118.145185,350933,49,The Guild of Merchant Explorers,2022
1655178118.145185,291572,50,Oath: Chronicles of Empire and Exile,2021
